date,row_index,within_date_order,innovation,innovation_variance,innovation_model_units,innovation_variance_model_units,carry_innovation,standardized_innovation,observation_noise_model
2023-05-10,769,1,-0.0009757684696540391,1.6371215256717646e-05,-0.0009757684696540391,1.6371215256717646e-05,0.0088180557998365,-0.4213480068919122,constant_log_futures
2023-05-10,770,2,-0.0019068991205127396,2.326518740178443e-05,-0.0019068991205127396,2.326518740178443e-05,0.005169815393390093,-0.5721320267444067,constant_log_futures
2023-05-10,771,3,-0.0011621584704993929,2.531987737756891e-05,-0.0011621584704993929,2.531987737756891e-05,0.0019031319919587373,0.43008848193789656,constant_log_futures
2023-05-11,772,0,-0.00029286420737419474,3.426680330398406e-06,-0.00029286420737419474,3.426680330398406e-06,0.01190981109988392,-0.15820838652817829,constant_log_futures
2023-05-11,773,1,-0.00048036322726219445,1.597625195695627e-05,-0.00048036322726219445,1.597625195695627e-05,0.004508024132768287,0.017898953381554485,constant_log_futures
2023-05-11,774,2,-0.0005680839542436039,2.324019164384416e-05,-0.0005680839542436039,2.324019164384416e-05,0.001557443649836397,0.0062331697567271265,constant_log_futures
2023-05-11,775,3,-3.139046797138827e-05,2.5287995403331172e-05,-3.139046797138827e-05,2.5287995403331172e-05,5.175185260147795e-05,0.33600622012351816,constant_log_futures
2023-05-12,777,0,0.0014221459565190477,1.5559154349515473e-05,0.0014221459565190477,1.5559154349515473e-05,-0.013880144535625905,0.36053810877771536,constant_log_futures
2023-05-12,778,1,0.002326232639111141,2.3215289118397738e-05,0.002326232639111141,2.3215289118397738e-05,-0.0064500086811718,0.4075867502768564,constant_log_futures
2023-05-12,779,2,0.0029036991147852204,2.5256358032492183e-05,0.0029036991147852204,2.5256358032492183e-05,-0.004819745469439414,0.4019126049760243,constant_log_futures
2023-05-15,781,0,-0.0021550016042571345,1.5149726804054634e-05,-0.0021550016042571345,1.5149726804054634e-05,0.021909182976614202,-0.5536626119029565,constant_log_futures
2023-05-15,782,1,-0.0025562637588059834,2.319899046720487e-05,-0.0025562637588059834,2.319899046720487e-05,0.0071692914614788494,-0.040465236581616805,constant_log_futures
2023-05-15,783,2,-0.0019711414835823374,2.5225580582127025e-05,-0.0019711414835823374,2.5225580582127025e-05,0.0032942364520143173,0.36051208393015416,constant_log_futures
2023-05-16,785,0,0.0014628797633781027,1.467857398601946e-05,0.0014628797633781027,1.467857398601946e-05,-0.015519246185402482,0.3818270561077106,constant_log_futures
2023-05-16,786,1,0.0019449530456405106,2.317179076390495e-05,0.0019449530456405106,2.317179076390495e-05,-0.005518238873677727,0.13304668117973575,constant_log_futures
2023-05-16,787,2,0.002254243719252898,2.519700617787211e-05,0.002254243719252898,2.519700617787211e-05,-0.003793348051708325,0.2065905399900712,constant_log_futures
2023-05-17,789,0,-0.002721100808390988,1.4180427189962686e-05,-0.002721100808390988,1.4180427189962686e-05,0.030179481693063684,-0.7226033559286399,constant_log_futures
2023-05-17,790,1,-0.0033223550747495854,2.3144487049167192e-05,-0.0033223550747495854,2.3144487049167192e-05,0.00953711339104587,-0.050855902444753236,constant_log_futures
2023-05-17,791,2,-0.0029820926522425035,2.5165681610962747e-05,-0.0029820926522425035,2.5165681610962747e-05,0.0050529903274109085,0.20313854781553833,constant_log_futures
2023-05-18,793,0,-0.00013642774492656374,1.365694676314517e-05,-0.00013642774492656374,1.365694676314517e-05,0.0015851604648610264,-0.03691695671260936,constant_log_futures
2023-05-18,794,1,0.0003891801449327796,2.3117075958669478e-05,0.0003891801449327796,2.3117075958669478e-05,-0.0011304756590904549,0.3102538133005076,constant_log_futures
2023-05-18,795,2,0.0004384117081827534,2.5133916684896564e-05,0.0004384117081827534,2.5133916684896564e-05,-0.0007480591384377051,0.05548749701396441,constant_log_futures
2023-05-19,797,0,0.0025800098706021384,1.310822695596977e-05,0.0025800098706021384,1.310822695596977e-05,-0.03147612042134609,0.7126058633348824,constant_log_futures
2023-05-19,798,1,0.003404277540675178,2.3089547918624357e-05,0.003404277540675178,2.3089547918624357e-05,-0.010007755661743898,0.127657430882727,constant_log_futures
2023-05-19,799,2,0.0029809975578800364,2.5102231773963877e-05,0.0029809975578800364,2.5102231773963877e-05,-0.005122277493822034,-0.2467794912996561,constant_log_futures
2023-05-22,800,0,-0.0008715135138437084,1.2534224410527298e-05,-0.0008715135138437084,1.2534224410527298e-05,0.011192068283045519,-0.24616448319339015,constant_log_futures
2023-05-22,801,1,-0.00012392193684777572,2.038729591641814e-05,-0.00012392193684777572,2.038729591641814e-05,0.0007199274426394589,0.581153459643987,constant_log_futures
2023-05-22,802,2,-0.000646860559919026,2.306189410046704e-05,-0.000646860559919026,2.306189410046704e-05,0.001924804592929785,-0.14534047168725855,constant_log_futures
2023-05-22,803,3,-0.00032992826876411963,2.5070741475804078e-05,-0.00032992826876411963,2.5070741475804078e-05,0.0005709396991379091,0.11997186375633788,constant_log_futures
2023-05-23,804,0,-0.00022144253634705658,1.1806930239815611e-05,-0.00022144253634705658,1.1806930239815611e-05,0.003001776603815656,-0.06444549272387415,constant_log_futures
2023-05-23,805,1,-0.0004141091619466906,2.006220612259172e-05,-0.0004141091619466906,2.006220612259172e-05,0.002464454524755915,-0.09043105075023654,constant_log_futures
2023-05-23,806,2,0.0011630547056574823,2.2955351182293857e-05,0.0011630547056574823,2.2955351182293857e-05,-0.0035035228170422926,1.088362679402297,constant_log_futures
2023-05-23,807,3,0.0011069936606232216,2.5035231045864708e-05,0.0011069936606232216,2.5035231045864708e-05,-0.0019293318085147578,0.17633471750021268,constant_log_futures
2023-05-24,808,0,-0.00047918747618298264,1.1181649814259393e-05,-0.00047918747618298264,1.1181649814259393e-05,0.006877749658155751,-0.1433020870625364,constant_log_futures
2023-05-24,809,1,-8.287993193307813e-06,1.98830806579647e-05,-8.287993193307813e-06,1.98830806579647e-05,5.055675847917766e-05,0.3628059456687713,constant_log_futures
2023-05-24,810,2,-7.418649117324396e-05,2.2924807342699234e-05,-7.418649117324396e-05,2.2924807342699234e-05,0.0002262687980783941,0.08986271130372209,constant_log_futures
2023-05-24,811,3,0.00046331278253218446,2.4994379435482994e-05,0.00046331278253218446,2.4994379435482994e-05,-0.0008132972585457051,0.32965923342259845,constant_log_futures
2023-05-25,812,0,-0.0017014399589925663,1.0535910119113672e-05,-0.0017014399589925663,1.0535910119113672e-05,0.025946959374636633,-0.5241801848495492,constant_log_futures
2023-05-25,813,1,-0.0015071220522569512,1.9695524449798124e-05,-0.0015071220522569512,1.9695524449798124e-05,0.009429173865402464,0.3980618819710053,constant_log_futures
2023-05-25,814,2,-0.0013710547124349392,2.289387480487432e-05,-0.0013710547124349392,2.289387480487432e-05,0.004234649997900318,0.3122381595946993,constant_log_futures
2023-05-25,815,3,-0.0009674969997675795,2.4961376778352056e-05,-0.0009674969997675795,2.4961376778352056e-05,0.001710646869154271,0.28506907008667204,constant_log_futures
2023-05-26,816,0,0.001327588810695106,9.868307574416578e-06,0.001327588810695106,9.868307574416578e-06,-0.021595444653973728,0.4226124089362264,constant_log_futures
2023-05-26,817,1,0.001638696453556548,1.9497021258309715e-05,0.001638696453556548,1.9497021258309715e-05,-0.01052215617546836,-0.05301888403519002,constant_log_futures
2023-05-26,818,2,0.0007257607520327466,2.2862493835149205e-05,0.0007257607520327466,2.2862493835149205e-05,-0.0022703285063588484,-0.7352383233493842,constant_log_futures
2023-05-26,819,3,0.0007846697281509718,2.4930074265221417e-05,0.0007846697281509718,2.4930074265221417e-05,-0.0013975139683856724,-0.09818858778415769,constant_log_futures
2023-05-29,820,0,0.0005111617489519924,9.180196076749313e-06,0.0005111617489519924,9.180196076749313e-06,-0.008908819053163297,0.16870671489204025,constant_log_futures
2023-05-29,821,1,0.0010770574343495663,1.9286596759178776e-05,0.0010770574343495663,1.9286596759178776e-05,-0.007102757134629572,0.2313786022958084,constant_log_futures
2023-05-29,822,2,0.0002516706141385463,2.283061110981305e-05,0.0002516706141385463,2.283061110981305e-05,-0.0007975016863611076,-0.5453759860547089,constant_log_futures
2023-05-29,823,3,0.0009654427418335594,2.48992545366839e-05,0.0009654427418335594,2.48992545366839e-05,-0.0017321178603484449,0.33261608204961185,constant_log_futures
2023-05-30,824,0,0.0002909222653376647,8.47389708499483e-06,0.0002909222653376647,8.47389708499483e-06,-0.005460387134030015,0.0999390848015517,constant_log_futures
2023-05-30,825,1,-7.022182281295902e-05,1.906347888807557e-05,-7.022182281295902e-05,1.906347888807557e-05,0.00047594791017672224,-0.27006509238007276,constant_log_futures
2023-05-30,826,2,-0.00018602323261428548,2.2798180235327972e-05,-0.00018602323261428548,2.2798180235327972e-05,0.0005972324836563902,-0.17085855942277023,constant_log_futures
2023-05-30,827,3,0.0005010302986185617,2.486869726498573e-05,0.0005010302986185617,2.486869726498573e-05,-0.0009055658730587337,0.4238942284432886,constant_log_futures
2023-05-31,828,0,-0.001055120808197885,7.752540335588948e-06,-0.001055120808197885,7.752540335588948e-06,0.02145412310002366,-0.3789484810919294,constant_log_futures
2023-05-31,829,1,-0.0009089719114281544,1.8826907664258504e-05,-0.0009089719114281544,1.8826907664258504e-05,0.0063368327539562765,0.32998373821144755,constant_log_futures
2023-05-31,830,2,-0.001974030231245982,2.276515267384165e-05,-0.001974030231245982,2.276515267384165e-05,0.006422178352320261,-0.5601617772767038,constant_log_futures
2023-05-31,831,3,-0.002345731027519251,2.4838364630244176e-05,-0.002345731027519251,2.4838364630244176e-05,0.004271331124736546,-0.3631038802678677,constant_log_futures
2023-06-01,832,0,0.0007259098590252942,7.02015551718023e-06,0.0007259098590252942,7.02015551718023e-06,-0.016102000509288342,0.27397398602755724,constant_log_futures
2023-06-01,833,1,0.0008764081029554102,1.8576098888530126e-05,0.0008764081029554102,1.8576098888530126e-05,-0.006289516974150591,-0.10410040608470898,constant_log_futures
2023-06-01,834,2,0.0014096604756838704,2.2731475546433374e-05,0.0014096604756838704,2.2731475546433374e-05,-0.004648069676579249,0.27076830621283043,constant_log_futures
2023-06-01,835,3,0.0031055118883027465,2.4808252465609057e-05,0.0031055118883027465,2.4808252465609057e-05,-0.005697330080796016,1.1290352347329027,constant_log_futures
2023-06-02,836,0,-0.0010022879507328164,6.281828440640465e-06,-0.0010022879507328164,6.281828440640465e-06,0.024455825997880723,-0.39989822242947837,constant_log_futures
2023-06-02,837,1,-0.0011739519463870476,1.8310236429867786e-05,-0.0011739519463870476,1.8310236429867786e-05,0.008680129542983018,0.18850940299228378,constant_log_futures
2023-06-02,838,2,-0.0023179020869430592,2.269709020452961e-05,-0.0023179020869430592,2.269709020452961e-05,0.0077475083453987185,-0.630263454488839,constant_log_futures
2023-06-02,839,3,-0.0018545964926562062,2.477836252976613e-05,-0.0018545964926562062,2.477836252976613e-05,0.0034281935167281385,0.1639658506483398,constant_log_futures
2023-06-05,840,0,-0.0014596662645357554,5.543892490110969e-06,-0.0014596662645357554,5.543892490110969e-06,0.039573174282969366,-0.6199350210856945,constant_log_futures
2023-06-05,841,1,-0.0009053832037807649,1.802846971815973e-05,-0.0009053832037807649,1.802846971815973e-05,0.006903546928828332,0.7188716834139608,constant_log_futures
2023-06-05,842,2,-0.0018368178748618784,2.266193044868012e-05,-0.0018368178748618784,2.266193044868012e-05,0.006224771687031921,-0.33188885311633265,constant_log_futures
2023-06-05,843,3,-0.001316902493311168,2.474869698320027e-05,-0.001316902493311168,2.474869698320027e-05,0.0024528565524269083,0.22143517014253128,constant_log_futures
2023-06-06,844,0,-0.0012455565980600933,4.8141541386354906e-06,-0.0012455565980600933,4.8141541386354906e-06,0.03798947624083284,-0.5676798394545265,constant_log_futures
2023-06-06,845,1,0.0011541379924385688,1.7729911821228022e-05,0.0011541379924385688,1.7729911821228022e-05,-0.009084182908226154,1.55954993174656,constant_log_futures
2023-06-06,846,2,-0.0005921890419490553,2.2625920034943712e-05,-0.0005921890419490553,2.2625920034943712e-05,0.0020351285385291477,-0.7877800784921493,constant_log_futures
2023-06-06,847,3,-0.00024110657094187585,2.4719256865181755e-05,-0.00024110657094187585,2.4719256865181755e-05,0.00045253848699859775,-0.014000615824240649,constant_log_futures
2023-06-07,848,0,-0.0009069219649758685,4.102156908832543e-06,-0.0009069219649758685,4.102156908832543e-06,0.03161270849344456,-0.44777906605685713,constant_log_futures
2023-06-07,849,1,0.0005567803453627529,1.7413637050401134e-05,0.0005567803453627529,1.7413637050401134e-05,-0.0045284801422837235,0.980105587570347,constant_log_futures
2023-06-07,850,2,-0.0003563668824300313,2.2588969163201885e-05,-0.0003563668824300313,2.2588969163201885e-05,0.0012421931330418234,-0.3714402516028118,constant_log_futures
2023-06-07,851,3,-2.8040731283990837e-05,2.469004112689591e-05,-2.8040731283990837e-05,2.469004112689591e-05,5.3038282428633834e-05,0.08510013657153033,constant_log_futures
2023-06-08,852,0,0.0009328340510198169,3.4194897483380823e-06,0.0009328340510198169,3.4194897483380823e-06,-0.03793525140813922,0.5044565177353415,constant_log_futures
2023-06-08,853,1,0.002238722715977898,1.7078677768204094e-05,0.002238722715977898,1.7078677768204094e-05,-0.01883614974822783,0.22224561718846794,constant_log_futures
2023-06-08,854,2,0.0017728849046867185,2.255096958335771e-05,0.0017728849046867185,2.255096958335771e-05,-0.006269332126718251,-0.45245441420529436,constant_log_futures
2023-06-08,855,3,0.0017528956576421395,2.4661045501065636e-05,0.0017528956576421395,2.4661045501065636e-05,-0.0033414573473803284,-0.10294900395421014,constant_log_futures
2023-06-09,857,0,-0.0010484348431284093,1.6724020361081762e-05,-0.0010484348431284093,1.6724020361081762e-05,0.009136360775833281,-0.25637230130692945,constant_log_futures
2023-06-09,858,1,-0.0027075673296846443,2.2511787893558832e-05,-0.0027075673296846443,2.2511787893558832e-05,0.009715388653574313,-0.9927239778512827,constant_log_futures
2023-06-09,859,2,-0.0024360109636599805,2.4632260990750296e-05,-0.0024360109636599805,2.4632260990750296e-05,0.0046802100404176004,-0.0024387631256047827,constant_log_futures
2023-06-12,861,0,-0.0005910319653939606,1.6372856216621592e-05,-0.0005910319653939606,1.6372856216621592e-05,0.005341177761338014,-0.14606586870230337,constant_log_futures
2023-06-12,862,1,-0.0013257155801429154,2.248206306629201e-05,-0.0013257155801429154,2.248206306629201e-05,0.004827979127684646,-0.42554337409919496,constant_log_futures
2023-06-12,863,2,-0.0013833778364264948,2.4603973553963257e-05,-0.0013833778364264948,2.4603973553963257e-05,0.002678922159429085,-0.10600043276275482,constant_log_futures
2023-06-13,865,0,0.0001532920531621615,1.5970038674211912e-05,0.0001532920531621615,1.5970038674211912e-05,-0.0014385869604449002,0.038358945271580895,constant_log_futures
2023-06-13,866,1,8.200801643020415e-05,2.2437034077707296e-05,8.200801643020415e-05,2.2437034077707296e-05,-0.00030318115165105773,-0.05606465622236529,constant_log_futures
2023-06-13,867,2,-0.0007706296207180101,2.4578440305616485e-05,-0.0007706296207180101,2.4578440305616485e-05,0.0015042690196415559,-0.5378252595165023,constant_log_futures
2023-06-14,869,0,-0.0003708421231077533,1.5543025080366627e-05,-0.0003708421231077533,1.5543025080366627e-05,0.003619419121531672,-0.09406353261016201,constant_log_futures
2023-06-14,870,1,-0.0001426808450186402,2.2390249692866698e-05,-0.0001426808450186402,2.2390249692866698e-05,0.0005356019413007416,0.1726704941033869,constant_log_futures
2023-06-14,871,2,-0.0009684349031833309,2.4550006071838982e-05,-0.0009684349031833309,2.4550006071838982e-05,0.0019056299707801026,-0.4788694407556725,constant_log_futures
2023-06-15,873,0,0.00073719090733418,1.5092530918297807e-05,0.00073719090733418,1.5092530918297807e-05,-0.007494774224564163,0.18975749247441076,constant_log_futures
2023-06-15,874,1,0.001647710885224917,2.2341654015771063e-05,0.001647710885224917,2.2341654015771063e-05,-0.006281897749919996,0.4996024379722132,constant_log_futures
2023-06-15,875,2,0.000597702894930734,2.4520912268314532e-05,0.000597702894930734,2.4520912268314532e-05,-0.0011856870436024317,-0.5691895753868403,constant_log_futures
2023-06-16,877,0,-0.0015171916382953755,1.4618221853454457e-05,-0.0015171916382953755,1.4618221853454457e-05,0.016095424336698767,-0.3968196467598745,constant_log_futures
2023-06-16,878,1,-0.001141005544085607,2.229112645291761e-05,-0.001141005544085607,2.229112645291761e-05,0.0044191325834426675,0.38135773442023024,constant_log_futures
2023-06-16,879,2,-0.0011309473537644485,2.4491782546855698e-05,-0.0011309473537644485,2.4491782546855698e-05,0.002261894707528897,0.07867467443678984,constant_log_futures
2023-06-19,880,0,-0.002015671762461746,1.4119599852440861e-05,-0.002015671762461746,1.4119599852440861e-05,0.02235563227457573,-0.5364245151064901,constant_log_futures
