date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,sessions_to_expiry,tau,implied_carry,excluded,delta,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,maturity_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error,observation_noise_model,observation_noise_carry_sd,marginal_prediction_variance,standardized_marginal_prediction_error
2023-09-06,IM2310,2023-10-20,6178.6,5563,14804,close,6195.383,False,0.014,,,26.0,0.10655737704918032,0.039456976396299234,False,0.004098360655737705,4,-0.0030627351255925334,0.0002633362795659137,0.016227639371329206,0.00226862942549002,4.5705946179103665e-05,0.006760617292755423,0.8983265212712988,0.0058326976200575725,0.010622003790860687,6200.777103933915,6197.6134320848405,0.028834972605438547,0.03362427877624166,-19.013432084840133,-22.177103933914623,constant_log_futures,0.027274591528541666,0.0009564132291863879,1.0872519377874448
2023-09-06,IM2312,2023-12-15,6166.0,13807,72447,close,6195.383,False,0.014,,,66.0,0.27049180327868855,0.03157542261964843,False,0.004098360655737705,4,-0.0030627351255925334,0.0002633362795659137,0.016227639371329206,0.00226862942549002,4.5705946179103665e-05,0.006760617292755423,0.7676311764043208,0.017267259169150756,0.021359780811338547,6189.910144760045,6183.061745365666,0.010215641808309882,0.014308163450497673,-17.061745365665956,-23.910144760045114,constant_log_futures,0.01074453605669823,0.00027061796521717085,0.8697723163972865
2023-09-06,IM2403,2024-03-15,6149.8,5092,31564,close,6195.383,False,0.014,,,124.0,0.5081967213114754,0.02853133392566736,False,0.004098360655737705,4,-0.0030627351255925334,0.0002633362795659137,0.016227639371329206,0.00226862942549002,4.5705946179103665e-05,0.006760617292755423,0.6212445248681471,0.030074656239487865,0.03338673727692403,6144.97853313516,6134.644074421403,-0.004855403351256671,-0.001543322313820504,15.155925578596907,4.821466864839749,constant_log_futures,0.005718865965661962,0.00013433868506494305,-0.13315457380962412
2023-09-07,IM2309,2023-09-15,6077.2,49425,90160,close,6083.489,False,0.014,,,6.0,0.02459016393442623,0.056062203789147266,False,0.004098360655737705,4,0.0029559272551003823,0.0002640165519621034,0.016248586152711977,0.0001831716205460531,4.64083854381246e-05,0.006812370030916157,0.9752161526902261,0.0049751053443114895,0.0022710692620312722,6084.839219834456,6085.2438306174145,0.053791134527115994,0.05108709844483578,-8.043830617414642,-7.639219834456526,constant_log_futures,0.11818989662368055,0.014219943693342191,0.42841266252953286
2023-09-07,IM2310,2023-10-20,6073.0,7826,17471,close,6083.489,False,0.014,,,25.0,0.10245901639344263,0.03084247242846755,False,0.004098360655737705,4,0.0029559272551003823,0.0002640165519621034,0.016248586152711977,0.0001831716205460531,4.64083854381246e-05,0.006812370030916157,0.9019725566053699,0.010942373563045518,0.008441424074504614,6085.395142497849,6086.954693313916,0.022401048353962935,0.01990009886542203,-13.954693313916323,-12.39514249784861,constant_log_futures,0.028365575189683332,0.0010193977078821895,0.6232803104471678
2023-09-07,IM2312,2023-12-15,6059.8,16384,74505,close,6083.489,False,0.014,,,65.0,0.26639344262295084,0.028645945483510918,False,0.004098360655737705,4,0.0029559272551003823,0.0002640165519621034,0.016248586152711977,0.0001831716205460531,4.64083854381246e-05,0.006812370030916157,0.770566870792766,0.021648196524032368,0.019511602891240834,6071.1069387164425,6074.563441758495,0.009134342592270084,0.00699774895947855,-14.763441758494992,-11.306938716442346,constant_log_futures,0.010909836611416665,0.00027579051482493197,0.42137493212230326
2023-09-07,IM2403,2024-03-15,6044.8,6071,32779,close,6083.489,False,0.014,,,123.0,0.5040983606557377,0.026656223957443798,False,0.004098360655737705,4,0.0029559272551003823,0.0002640165519621034,0.016248586152711977,0.0001831716205460531,4.64083854381246e-05,0.006812370030916157,0.6234144247198484,0.0336369322183117,0.0319083563595073,6023.5659517213635,6028.817007457938,-0.0052521324020635,-0.006980708260867906,15.982992542061766,21.234048278636692,constant_log_futures,0.005765360810911247,0.00013584824199280065,-0.5989250488458875
2023-09-08,IM2310,2023-10-20,6072.2,8164,20257,close,6102.488,False,0.014,,,24.0,0.09836065573770492,0.06458505569344926,False,0.004098360655737705,3,0.0008879152994914069,0.0002647072878997177,0.016269827531345184,0.013328870461226789,4.7227144809699246e-05,0.006872200870878212,0.9056387043464748,0.008770815210150246,0.020037825723656866,6105.62759791754,6098.864902938254,0.04454722996979239,0.05581424048329901,-26.664902938254272,-33.42759791753997,constant_log_futures,0.02954747415592014,0.0010901612396009225,1.6904395727960064
2023-09-08,IM2312,2023-12-15,6057.2,17302,75360,close,6102.488,False,0.014,,,64.0,0.26229508196721313,0.04239896851898398,False,0.004098360655737705,3,0.0008879152994914069,0.0002647072878997177,0.016269827531345184,0.013328870461226789,4.7227144809699246e-05,0.006872200870878212,0.7735182742875935,0.019808096111119444,0.029431402278314325,6093.1983338139935,6077.837606857657,0.012967566240669658,0.02259087240786454,-20.637606857657374,-35.99833381399367,constant_log_futures,0.011080302808470052,0.00028115555971809186,1.3472855899361786
2023-09-08,IM2403,2024-03-15,6037.0,5144,33672,close,6102.488,False,0.014,,,122.0,0.5,0.03557871412309104,False,0.004098360655737705,3,0.0008879152994914069,0.0002647072878997177,0.016269827531345184,0.013328870461226789,4.7227144809699246e-05,0.006872200870878212,0.625595394346291,0.03216550651967533,0.0399485107701257,6047.311563524968,6023.824167989105,-0.004369796647034657,0.0034132076034157147,13.175832010894737,-10.311563524967823,constant_log_futures,0.005812617866738388,0.00013738491116610895,0.2912012170813698
