date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,sessions_to_expiry,tau,implied_carry,excluded,delta,n_contracts,predicted_slow_state,predicted_fast_state,predicted_instantaneous_carry,predicted_var_slow,predicted_var_fast,predicted_cov_slow_fast,filtered_slow_state,filtered_fast_state,filtered_instantaneous_carry,filtered_var_slow,filtered_var_fast,filtered_cov_slow_fast,filtered_instantaneous_variance,filtered_instantaneous_std,nearest_contract_sessions,weak_instantaneous_observability,slow_loading,fast_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error,observation_noise_model,observation_noise_carry_sd,marginal_prediction_variance,standardized_marginal_prediction_error
2022-11-04,IM2211,2022-11-18,6746.6,43107,45654,close,6709.645,False,0.014,,,10.0,0.040983606557377046,-0.12002019165856735,False,0.004098360655737705,4,0.07110040750359518,-0.11057995008754556,-0.005059920362020742,1.4808864756601414e-05,0.00612683982278325,-3.056080177170157e-05,0.06849134866496,-0.25231611953595373,-0.14940514864906412,5.9482639950768464e-06,0.0002766980066113943,-3.3567022586852696e-05,0.00021551222543276575,0.014680334649890164,10.0,False,0.993039052609528,0.7236982824148924,0.024998583581569908,-0.08016653612163002,6706.621231086134,6735.589458706637,-0.03985365553693733,-0.14501877524013726,11.01054129336353,39.97876891386659,constant_log_futures,0.023775864479180973,0.0037448356664864717,-2.3697790224980086
2022-11-04,IM2212,2022-12-16,6717.0,19316,39515,close,6709.645,False,0.014,,,30.0,0.12295081967213115,0.005089259803884296,False,0.004098360655737705,4,0.07110040750359518,-0.11057995008754556,-0.005059920362020742,1.4808864756601414e-05,0.00612683982278325,-3.056080177170157e-05,0.06849134866496,-0.25231611953595373,-0.14940514864906412,5.9482639950768464e-06,0.0002766980066113943,-3.3567022586852696e-05,0.00021551222543276575,0.014680334649890164,10.0,False,0.9793100790014481,0.4239388542081877,0.05716983057279793,-0.005472716320401014,6674.126120373747,6725.728386658544,0.01056197612428531,-0.052080570768913634,-8.728386658543968,42.873879626253256,constant_log_futures,0.00792528815972699,0.0011527779911958752,-1.5339206603681035
2022-11-04,IM2303,2023-03-17,6606.6,8670,27435,close,6709.645,False,0.014,,,89.0,0.36475409836065575,0.05643103553277477,False,0.004098360655737705,4,0.07110040750359518,-0.11057995008754556,-0.005059920362020742,1.4808864756601414e-05,0.00612683982278325,-3.056080177170157e-05,0.06849134866496,-0.25231611953595373,-0.14940514864906412,5.9482639950768464e-06,0.0002766980066113943,-3.3567022586852696e-05,0.00021551222543276575,0.014680334649890164,10.0,False,0.9402626552973934,0.16347042053284946,0.08319612923067418,0.05757325741478543,6542.415709092654,6603.848064806775,-0.0011422218820106578,-0.02676509369789941,2.7519351932251084,64.18429090734662,constant_log_futures,0.002671445447098985,0.00017455930051735467,-2.0258032875758905
2022-11-04,IM2306,2023-06-16,6477.8,3050,7866,close,6709.645,False,0.014,,,150.0,0.6147540983606558,0.07120189100231755,False,0.004098360655737705,4,0.07110040750359518,-0.11057995008754556,-0.005059920362020742,1.4808864756601414e-05,0.00612683982278325,-3.056080177170157e-05,0.06849134866496,-0.25231611953595373,-0.14940514864906412,5.9482639950768464e-06,0.0002766980066113943,-3.3567022586852696e-05,0.00021551222543276575,0.014680334649890164,10.0,False,0.9020654482901068,0.09720637277025397,0.08780776734114347,0.07167656658782491,6412.0075742603,6475.909996977353,-0.00047467558550735867,-0.016605876338825917,1.8900030226468516,65.79242573969987,constant_log_futures,0.0015850576319453979,6.709616064767313e-05,-2.027276399437648
2022-11-07,IM2211,2022-11-18,6711.8,37120,44441,close,6713.638,False,0.014,,,9.0,0.036885245901639344,0.021423254650392194,False,0.004098360655737705,4,0.06839561761355656,-0.23559222999388607,-0.1327769901583999,1.4938749588494918e-05,0.006132221047878765,-3.129834291629116e-05,0.06129445873554708,-0.13294741020476722,-0.0372333292472905,6.090358028401891e-06,0.00028355051822763315,-3.444520799957283e-05,0.00022075046025688938,0.014857673446973096,9.0,False,0.9937322322756198,0.7461804371480878,-0.07340776117461184,-0.003872855136968653,6735.318080134194,6718.065389184446,0.025296109787360847,0.09483101582500403,-6.265389184445667,-23.51808013419395,constant_log_futures,0.026417627199089966,0.004080557630408469,1.4845356961088318
2022-11-07,IM2212,2022-12-16,6686.6,14637,38590,close,6713.638,False,0.014,,,29.0,0.11885245901639344,0.04795349346108114,False,0.004098360655737705,4,0.06839561761355656,-0.23559222999388607,-0.1327769901583999,1.4938749588494918e-05,0.006132221047878765,-3.129834291629116e-05,0.06129445873554708,-0.13294741020476722,-0.0372333292472905,6.090358028401891e-06,0.00028355051822763315,-3.444520799957283e-05,0.00022075046025688938,0.014857673446973096,9.0,False,0.9799904801329287,0.4339964560155153,-0.0007995165161116119,0.03678890340235648,6725.457405391144,6695.478599576827,0.011164590058724659,0.04875300997719275,-8.878599576826673,-38.8574053911434,constant_log_futures,0.008198573958338265,0.0012099621288900772,1.4015724274749322
2022-11-07,IM2303,2023-03-17,6583.2,5530,26996,close,6713.638,False,0.014,,,88.0,0.36065573770491804,0.0684009939555727,False,0.004098360655737705,4,0.06839561761355656,-0.23559222999388607,-0.1327769901583999,1.4938749588494918e-05,0.006132221047878765,-3.129834291629116e-05,0.06129445873554708,-0.13294741020476722,-0.0372333292472905,6.090358028401891e-06,0.00028355051822763315,-3.444520799957283e-05,0.00022075046025688938,0.014857673446973096,9.0,False,0.9409068802928315,0.1653017534968088,0.05982972068818974,0.07011556014032339,6603.581994127818,6579.130417291873,-0.0017145661847506877,0.00857127326738296,4.0695827081272,-20.38199412781796,constant_log_futures,0.00270180278172511,0.00017835012879090288,0.6418131747098379
2022-11-07,IM2306,2023-06-16,6466.0,2733,8017,close,6713.638,False,0.014,,,149.0,0.610655737704918,0.07554580771533441,False,0.004098360655737705,4,0.06839561761355656,-0.23559222999388607,-0.1327769901583999,1.4938749588494918e-05,0.006132221047878765,-3.129834291629116e-05,0.06129445873554708,-0.13294741020476722,-0.0372333292472905,6.090358028401891e-06,0.00028355051822763315,-3.444520799957283e-05,0.00022075046025688938,0.014857673446973096,9.0,False,0.9026745381556122,0.09785852784061652,0.07310389596522504,0.07673853160967675,6475.64908095493,6461.292244343367,-0.001192723894342343,0.0024419117501093685,4.7077556566327985,-9.649080954929559,constant_log_futures,0.0015956956026295954,6.791315148831259e-05,0.2963145808754381
2022-11-08,IM2211,2022-11-18,6707.6,28811,41036,close,6694.956,False,0.014,,,8.0,0.03278688524590164,-0.043547547558565276,False,0.004098360655737705,4,0.06120878685005593,-0.12413545713867838,-0.02850704806669281,1.508044668687621e-05,0.006138195274774561,-3.211717479571335e-05,0.058729823581585225,-0.1526214729182119,-0.05947202711469704,6.24489652312748e-06,0.00029109563763954176,-3.541368610266242e-05,0.00022651316195734442,0.015050354213683625,8.0,False,0.9944260579252275,0.769656944205801,-0.000254481769329129,-0.024644087297609876,6698.085686312762,6703.444014271044,-0.0189034602609554,-0.04329306578923615,4.1559857289566935,9.514313687238428,constant_log_futures,0.02971983059897621,0.004485112140490667,-0.6464451601846196
2022-11-08,IM2212,2022-12-16,6681.0,13534,38809,close,6694.956,False,0.014,,,28.0,0.11475409836065574,0.032184362382711044,False,0.004098360655737705,4,0.06120878685005593,-0.12413545713867838,-0.02850704806669281,1.508044668687621e-05,0.006138195274774561,-3.211717479571335e-05,0.058729823581585225,-0.1526214729182119,-0.05947202711469704,6.24489652312748e-06,0.00029109563763954176,-3.541368610266242e-05,0.00022651316195734442,0.015050354213683625,8.0,False,0.9806715138538467,0.44443712641296057,0.039274930026657946,0.02418363836936857,6675.566070410524,6687.136748822201,0.008000724013342474,-0.007090567643946902,-6.136748822201298,5.433929589476065,constant_log_futures,0.00849138017113606,0.0012710534048967278,-0.198883660820662
