date,contract,expiry,sessions_to_expiry,tau,spot,futures_price,implied_carry,predicted_carry,fitted_carry,carry_prediction_error,carry_residual,predicted_futures_price,fitted_futures_price,futures_prediction_error,futures_residual,standardized_marginal_prediction_error,observation_noise_model,observation_noise_carry_sd
2023-01-03,IM2303,2023-03-17,48.0,0.19672131147540983,6423.701,6366.0,0.059867437668321095,0.04670295268693422,0.06005573501450395,0.013164484981386879,-0.00018829734618285715,6382.507617370451,6365.764194353139,-16.507617370451044,0.2358056468610812,0.6565709527512275,constant_log_futures,0.01477373707796007
2023-01-03,IM2306,2023-06-16,109.0,0.44672131147540983,6423.701,6264.2,0.0702846321568668,0.054402808471574825,0.06503018763821575,0.015881823685291972,0.00525444451865105,6308.800956559838,6278.921053834866,-44.60095655983787,-14.721053834866325,1.260604652032047,constant_log_futures,0.006505865869193425
2023-01-04,IM2301,2023-01-20,12.0,0.04918032786885246,6421.277,6414.4,0.035788075021372524,0.05649211688723242,0.06416254595488731,-0.020704041865859897,-0.028374470933514785,6407.871979517804,6405.455166833431,6.528020482195643,8.94483316656897,-0.3386090172469222,constant_log_futures,0.05909494831184028
2023-01-04,IM2302,2023-02-17,27.0,0.11065573770491803,6421.277,6389.8,0.05840834868687663,0.05815274764249905,0.0653672041727239,0.00025560104437757913,-0.006958855485847272,6389.980729883471,6384.881509694677,-0.18072988347103092,4.918490305322848,0.008483275225041774,constant_log_futures,0.026264421471929013
2023-01-04,IM2303,2023-03-17,47.0,0.19262295081967212,6421.277,6359.0,0.0645956079093645,0.06016465036539545,0.06682668283222629,0.00443095754396905,-0.0022310749228617865,6364.429749507649,6356.2677672398195,-5.429749507648921,2.7322327601805227,0.2178907525701471,constant_log_futures,0.015088071909406028
2023-01-04,IM2306,2023-06-16,108.0,0.4426229508196721,6421.277,6253.0,0.07399611846821261,0.06512364573187883,0.07042404756939123,0.008872472736333778,0.003572070898821375,6277.604813776373,6262.8943165473875,-24.604813776372794,-9.894316547387461,0.6997220327390046,constant_log_futures,0.006566105367982253
2023-01-05,IM2301,2023-01-20,11.0,0.045081967213114756,6485.469,6490.4,-0.0028587630962777343,0.06424885134431299,0.06122259283549513,-0.06710761444059073,-0.06408135593177286,6470.7939844323455,6471.676853052836,19.60601556765414,18.723146947163514,-1.011061092490925,constant_log_futures,0.06446721634018938
2023-01-05,IM2302,2023-02-17,26.0,0.10655737704918032,6485.469,6464.6,0.04424658911013926,0.06545005099970541,0.0626039407009263,-0.02120346188956615,-0.018357351590787038,6450.010465793339,6451.966883228752,14.589534206661483,12.633116771248751,-0.682738380557275,constant_log_futures,0.027274591528541666
2023-01-05,IM2303,2023-03-17,46.0,0.1885245901639344,6485.469,6432.0,0.057912595220040955,0.06690523709659632,0.06427736626321442,-0.008992641876555366,-0.00636477104317347,6421.10484898289,6424.28676977642,10.895151017110038,7.713230223579558,-0.43583640900154685,constant_log_futures,0.015416073472653986
2023-01-05,IM2306,2023-06-16,107.0,0.4385245901639344,6485.469,6323.8,0.07156539807822683,0.07049143879273877,0.06840140345864108,0.001073959285488063,0.003163994619585747,6326.778942812358,6332.580295620066,-2.9789428123576727,-8.780295620065772,0.08414813921944801,constant_log_futures,0.006627470838711059
