eta_fast_fixed,start_id,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,log_likelihood,converged,iterations,message
3.5,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.5388196759483135,58.4219108658356,0.10853937250376113,0.11341428636857455,3.5,0.005939604707082332,5345.835853725094,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.5,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.538829470777109,58.42187089504256,0.10853941695288379,0.11341482328097849,3.5,0.0059396037256823275,5345.835853721421,True,28,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.5,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.538837937761594,58.421895833310664,0.10853962572486534,0.1134132109068279,3.5,0.005939587071827926,5345.835853668471,True,25,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.5,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,3.5,0.005927944735065805,2.5388066878944784,58.42231831076052,0.10853933394059291,0.11341579519248263,3.5,0.005939580139941026,5345.835853647733,True,33,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.75,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.567707783659377,61.855660123124665,0.10860183108337959,0.11483262916184639,3.75,0.005930168977268615,5347.925871338096,True,23,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.75,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.567708465186083,61.85562471521533,0.10860183251917839,0.11483262171693279,3.75,0.005930170068192203,5347.925871338095,True,25,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.75,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.5677159192912113,61.85570709052806,0.10860185354500013,0.11483299284539311,3.75,0.005930165589106966,5347.925871337063,True,23,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.75,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,3.75,0.005927944735065805,2.5677026973725026,61.85564137489389,0.10860181796630529,0.11483238293826702,3.75,0.00593017005475189,5347.925871336211,True,22,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.8851718110983695,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,3.8851718110983695,0.005927944735065805,2.57648752504779,62.576487525047774,0.10862241665682047,0.11495526860819083,3.8851718110983695,0.005927944732496829,5348.429929688807,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.8851718110983695,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.576487924492337,62.576487924492326,0.1086224250981373,0.11495523022001095,3.8851718110983695,0.0059279424518988025,5348.429929688549,True,22,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.8851718110983695,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.5764938368182984,62.57649383681829,0.10862244091415867,0.11495528705349568,3.8851718110983695,0.005927946403282565,5348.429929688448,True,25,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3.8851718110983695,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.576497762917427,62.57649776291741,0.10862245524735128,0.11495560447141515,3.8851718110983695,0.005927946515605166,5348.429929687385,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4.0,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,4.0,0.005927944735065805,2.5806711339081057,62.58067113390809,0.10863371232048763,0.11476402188848463,4.0,0.005927041357360953,5348.056688090914,True,18,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4.0,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.5806741179204176,62.5806741179204,0.10863367032473963,0.11476440122605443,4.0,0.005927041241701438,5348.056688090806,True,24,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4.0,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.5806658551054014,62.58066585510539,0.10863365729902487,0.1147639550312382,4.0,0.005927039120221767,5348.05668809029,True,21,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4.0,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.5806793335890794,62.58067933358907,0.10863371291443402,0.11476437568643555,4.0,0.0059270441110291705,5348.056688089615,True,24,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5.0,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.610025789592224,62.61002578959221,0.10871527427015051,0.11399241565387698,5.0,0.00592558152047289,5323.638804343764,True,23,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5.0,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.6100307846453106,62.610030784645296,0.1087152981378021,0.1139926162728891,5.0,0.005925582297358062,5323.638804343466,True,19,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5.0,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.6100306602724768,62.610030660272464,0.10871530002559418,0.11399272228656042,5.0,0.005925581488404028,5323.6388043433,True,29,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5.0,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,5.0,0.005927944735065805,2.6100246806744787,62.610024680674464,0.10871527008451881,0.11399217494055879,5.0,0.005925582267628873,5323.638804342775,True,23,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6.0,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.6292818589857236,62.629281858985706,0.10877013144002558,0.11385580335214368,6.0,0.005927883598527066,5281.603515734878,True,25,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6.0,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.629280460571731,62.629280460571714,0.1087701133339588,0.11385576056960636,6.0,0.005927883947820577,5281.603515734757,True,30,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6.0,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.6292791087481064,62.629279108748094,0.10877011301059696,0.11385575100133401,6.0,0.005927881621834994,5281.603515734738,True,23,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6.0,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,6.0,0.005927944735065805,2.629246105285576,62.62924610528556,0.10876994390413396,0.11385920046082708,6.0,0.0059278691363914005,5281.603515492132,True,17,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8.0,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,8.0,0.005927944735065805,2.6510283567333564,62.65102835673334,0.10883256983795883,0.11393465962662198,8.0,0.005932585252985646,5188.655507156669,True,24,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8.0,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.651025196509783,62.65102519650977,0.10883256911291689,0.11393419136333484,8.0,0.005932584147631695,5188.655507156664,True,30,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8.0,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.6510330872386114,62.651033087238595,0.10883260468795439,0.11393470795453153,8.0,0.005932583450086291,5188.655507156143,True,29,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8.0,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.6510206191222108,62.6510206191222,0.1088325768910639,0.11393417221762757,8.0,0.005932565194503253,5188.655507144464,True,24,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10.0,3,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.02824461285023894,2.66205723404036,62.66205723404035,0.10886432448025711,0.114049036115394,10.0,0.00593564448005784,5101.989565878951,True,29,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10.0,2,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.02824461285023894,2.662053701241494,62.66205370124148,0.10886431965609975,0.11404893298291167,10.0,0.005935644629783097,5101.989565878657,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10.0,0,2.576487522256377,62.576487522256365,0.10862241492335165,0.1149552687078265,10.0,0.005927944735065805,2.6620552410168115,62.662055241016795,0.10886431770323328,0.11404917997775676,10.0,0.005935646409763911,5101.989565878655,True,20,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10.0,1,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.02824461285023894,2.662055897565639,62.66205589756562,0.10886434757041191,0.11404934107973674,10.0,0.005935643488346093,5101.989565877537,True,27,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
