date,n_contracts,front_carry,back_carry,inversion,hump_or_u_shape,material_slope_sign_changes,one_factor_shape_limitation
2023-05-15,3,0.05841649872224184,0.0486419240420774,True,False,0,False
2023-05-16,3,0.0412049982547176,0.04509049960695522,False,False,0,False
2023-05-17,3,0.07164308896890104,0.05041791775160259,True,False,0,False
2023-05-18,3,0.07050166352195852,0.04959956892975346,True,False,0,False
2023-05-19,3,0.03567033076677306,0.044277433853806,False,False,0,False
2023-05-22,4,0.04867146636566207,0.04469981803342189,True,True,2,True
2023-05-23,4,0.04612434964653111,0.04292470083722656,True,True,2,True
2023-05-24,4,0.0497042528518284,0.042305528534527376,True,False,0,False
2023-05-25,4,0.07087411236933361,0.044339361332212605,True,False,0,False
2023-05-26,4,0.04038038438457994,0.043021393479129304,False,True,1,True
2023-05-29,4,0.03726653883223869,0.041144982461626796,False,True,1,True
2023-05-30,4,0.03250538396118347,0.040646315129568684,False,True,1,True
2023-05-31,4,0.059445281812427024,0.04541926106604217,True,True,2,True
2023-06-01,4,0.03816270660799434,0.03921814031876781,False,True,1,True
2023-06-02,4,0.06516034977000151,0.04388821418705052,True,False,0,False
2023-06-05,4,0.10060984837532158,0.04633511674062702,True,False,0,False
2023-06-06,4,0.1176203580624159,0.04667760289256527,True,False,0,False
2023-06-07,4,0.10952305304539442,0.04638746620564018,True,False,0,False
2023-06-08,4,0.03977484040152216,0.04282382073616441,False,True,1,True
2023-06-09,3,0.05402240133299701,0.04734529177011929,True,False,0,False
2023-06-12,3,0.06390367123825424,0.049784203670005994,True,False,0,False
2023-06-13,3,0.06389337339838709,0.05084173239763182,True,False,0,False
2023-06-14,3,0.06774360756423166,0.05185010870997428,True,False,0,False
2023-06-15,3,0.058606001847821665,0.049819966076758045,True,True,1,True
2023-06-16,3,0.07206976369087416,0.05129410156943082,True,False,0,False
2023-06-19,4,0.08965002391310867,0.05739509160540742,True,False,0,False
2023-06-20,4,0.08663389380879806,0.05682672734667686,True,False,0,False
2023-06-21,4,0.05731256054671919,0.04822822536209217,True,True,2,True
2023-06-26,4,0.0015518806082317031,0.036983251108617096,False,False,0,False
2023-06-27,4,0.07428031054416134,0.05440863621130771,True,False,0,False
2023-06-28,4,0.04174409953819779,0.044990346348228544,False,False,0,False
2023-06-29,4,0.0801928611497151,0.05309543967686093,True,False,0,False
2023-06-30,4,0.08075286467753956,0.052547268160596,True,False,0,False
2023-07-03,4,0.09135077365582209,0.052972640757865966,True,False,0,False
2023-07-04,4,0.08495063546790167,0.05482673813929999,True,False,0,False
2023-07-05,4,0.07035239798154543,0.05307940324775705,True,True,2,True
2023-07-06,4,0.12058321065343737,0.05665582729068859,True,False,0,False
2023-07-07,4,0.045550113963371754,0.04769492341344825,False,True,1,True
