date,contract,expiry,sessions_to_expiry,tau,spot,futures_price,implied_carry,predicted_carry,fitted_carry,carry_prediction_error,carry_residual,predicted_futures_price,fitted_futures_price,futures_prediction_error,futures_residual
2025-07-28,IM2508,2025-08-15,14.0,0.05737704918032787,6729.979,6674.6,0.15800785708040158,0.11336775315063768,0.1562530276156045,0.04464010392976389,0.0017548294647970752,6691.717681926086,6675.272078860608,-17.117681926085424,-0.6720788606080532
2025-07-28,IM2509,2025-09-19,39.0,0.1598360655737705,6729.979,6602.0,0.13411925966291693,0.10739859503490293,0.13765225898976532,0.026720664628014007,-0.0035329993268483906,6630.256951536632,6598.272898346381,-28.256951536632187,3.7271016536187744
2025-07-28,IM2512,2025-12-19,98.0,0.4016393442622951,6729.979,6419.4,0.1316363037626658,0.10069216361053163,0.11675403903795012,0.030944140152134175,0.014882264724715683,6499.680615061211,6457.885604644206,-80.28061506121139,-38.48560464420643
2025-07-28,IM2603,2026-03-20,155.0,0.6352459016393442,6729.979,6256.2,0.12891463552193871,0.09807539356994271,0.10859980135010647,0.030839241951996,0.020314834171832247,6379.970503697689,6337.458922196524,-123.77050369768949,-81.25892219652451
2025-07-29,IM2508,2025-08-15,13.0,0.05327868852459016,6773.884,6731.0,0.13320167514372522,0.1551611078796414,0.14275532465395524,-0.02195943273591619,-0.009553649510230022,6723.129538430455,6727.574752985297,7.870461569545114,3.425247014703018
2025-07-29,IM2509,2025-09-19,38.0,0.1557377049180328,6773.884,6662.0,0.12094192641047222,0.13678921358994006,0.12805602218237638,-0.015847287179467845,-0.007114095771904166,6645.578322714542,6654.623038044083,16.421677285457918,7.376961955917068
2025-07-29,IM2512,2025-12-19,97.0,0.3975409836065574,6773.884,6471.8,0.12875635192670684,0.11620049321171119,0.11158304320861889,0.012555858714995649,0.01717330871808795,6504.184541313723,6516.134753771353,-32.384541313722366,-44.33475377135255
2025-07-29,IM2603,2026-03-20,154.0,0.6311475409836066,6773.884,6306.0,0.12740148567442178,0.10819818977326869,0.10518042207134398,0.019203295901153092,0.022221063603077795,6382.894476067814,6395.063283590793,-76.89447606781414,-89.06328359079271
2025-07-30,IM2508,2025-08-15,12.0,0.04918032786885246,6718.482,6675.6,0.14419734822112557,0.1419010488382746,0.15004401780732785,0.002296299382850975,-0.00584666958620228,6676.3539364807775,6673.68076639385,-0.7539364807771562,1.9192336061505557
2025-07-30,IM2509,2025-09-19,37.0,0.15163934426229508,6718.482,6604.2,0.12713967340389565,0.12738168131049135,0.1331018411395114,-0.0002420079065957037,-0.005962167735615753,6603.95764404201,6598.231846333009,0.24235595799018483,5.9681536669904744
