date,delta,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std
2024-05-10,0.004098360655737705,3,0.0943795539861778,0.0028544449168475027,0.053427005501408206,0.11803936926454388,0.0006068284974547074,0.024633889206836734
2024-05-13,0.004098360655737705,3,0.11724162337977401,0.0031573557615661345,0.05619035292259815,0.1410869526271372,0.0006071827354247772,0.024641078211490204
2024-05-14,0.004098360655737705,3,0.1395519147939262,0.003157687697911124,0.056193306522317445,0.1564094432466881,0.0005950153665048886,0.02439293681590818
2024-05-15,0.004098360655737705,3,0.15438423910032711,0.0031462863454061567,0.05609176718027483,0.15129499332562613,0.0005825499546308901,0.024136071648693996
2024-05-16,0.004098360655737705,3,0.14943340037824338,0.003134605713723924,0.05598754963135933,0.1555005738469116,0.0005702116604341484,0.023879105101199845
2024-05-17,0.004098360655737705,3,0.15350444442305394,0.0031230441968197143,0.05588420346412494,0.07807812099208081,0.0005580158990915178,0.023622360150745265
2024-05-20,0.004098360655737705,4,0.0785587350176503,0.003111616239382959,0.05578186299670314,0.11781468996302519,0.0003994935225966102,0.01998733405426072
2024-05-21,0.004098360655737705,4,0.11702413156673883,0.0029630738958209657,0.05443412436901108,0.1384121858308619,0.0003881809439618566,0.01970230808717234
2024-05-22,0.004098360655737705,4,0.13696271375922453,0.0029524735188944337,0.05433666827193616,0.14229013619800412,0.0003793553010206171,0.019477045490027926
2024-05-23,0.004098360655737705,4,0.1407166085350639,0.0029442035085973373,0.05426051518919939,0.14072050662045338,0.0003706889699178491,0.01925328465269885
2024-05-24,0.004098360655737705,4,0.1391971913911274,0.002936082780403922,0.054185632601307904,0.1603826965419561,0.00036214483361727325,0.01903010335277434
2024-05-27,0.004098360655737705,4,0.1582303880646277,0.0029280765540410374,0.054111704408945,0.19262182317045623,0.0003537226846995893,0.018807516707412205
2024-05-28,0.004098360655737705,4,0.1894381853726514,0.0029201846351478013,0.05403873273077193,0.20847659329597185,0.00034542284240930243,0.01858555467047735
2024-05-29,0.004098360655737705,4,0.20478576156924083,0.0029124073228701634,0.05396672421844931,0.21650527606366227,0.0003372455873031324,0.01836424752891151
2024-05-30,0.004098360655737705,4,0.21255760685995684,0.0029047448801019413,0.0538956851714675,0.16038734721219527,0.0003291911521358921,0.01814362566125889
2024-05-31,0.004098360655737705,4,0.15823488995997503,0.0028971975249444917,0.05382562145432686,0.15503465534599192,0.000321259721099664,0.017923719510739504
2024-06-03,0.004098360655737705,4,0.1530534306500597,0.002889765429993786,0.05375653848597198,0.22721213619760955,0.00031345142924575083,0.01770455956090834
2024-06-04,0.004098360655737705,4,0.22292195465125836,0.002882448721798754,0.05368844123085298,0.19508890604650575,0.0003057663619748186,0.01748617631086964
2024-06-05,0.004098360655737705,4,0.19182634629354267,0.002875247480383524,0.05362133419063278,0.16917822463757942,0.0002982045545958832,0.01726860025004584
2024-06-06,0.004098360655737705,4,0.1667445473093321,0.0028681617388341754,0.05355522139655643,0.15825595851077456,0.0002907659919562047,0.017051861832544993
2024-06-07,0.004098360655737705,4,0.1561716843606103,0.0028611914829519336,0.05349010640251086,0.20467515679356607,0.00028345060814398643,0.01683599145117348
2024-06-11,0.004098360655737705,4,0.2011059329804128,0.0028543366509745866,0.05342599227880177,0.1688381835940161,0.00027625828626558235,0.016621019411142697
2024-06-12,0.004098360655737705,4,0.16641538417516233,0.002847597133367716,0.05336288160667222,0.22920141985601467,0.00026918885829870437,0.01640697590352056
2024-06-13,0.004098360655737705,4,0.22484760114643326,0.00284097277268715,0.053300776473585734,0.24456351894796646,0.0002622421050229011,0.01619389097848016
2024-06-14,0.004098360655737705,3,0.23971826685062114,0.0028344633635138156,0.05323967846929408,0.14469230258012514,0.0005147140449479777,0.022687310218445413
