date,delta,spot,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,transition_cross_covariance,curve_log_likelihood,return_log_likelihood,curve_innovation_mean,standardized_curve_innovation,log_return,return_residual,standardized_return_residual,sample,model
2022-08-02,0.004098360655737705,6957.982,4,0.12786593232501955,0.003002730560697461,0.05479717657596476,0.05721520060334488,0.00031104258781062974,0.017636399513807507,0.0003085405230877978,8.827915056870642,0.0,-0.03166145221815288,-0.7284110403741627,,,,in_sample,exact_corr_curve
2022-08-03,0.004098360655737705,6916.67,4,0.05909114264851794,0.0029951322320972817,0.054727801272271864,0.11386231123803478,0.0003030467308008432,0.017408237440960046,0.0003006803356712884,9.858716166981349,0.0,0.03308765619191355,0.9834960265561044,,,,in_sample,exact_corr_curve
2022-08-04,0.004098360655737705,6960.312,4,0.1138510787728183,0.002987660257980283,0.054659493758909654,0.22428336946095262,0.0002951860951622231,0.017180980622834748,0.00029295085725289903,6.636971685517182,0.0,0.05743259141520821,1.4959035238177398,,,,in_sample,exact_corr_curve
2022-08-05,0.004098360655737705,7090.003,4,0.22059350618555465,0.0029803146456259056,0.05459225811070564,0.08266989340530972,0.00028746062753475307,0.016954663887401397,0.00028535209536293896,5.470420404080427,0.0,-0.0687865179812031,-1.669608012136388,,,,in_sample,exact_corr_curve
2022-08-08,0.004098360655737705,7176.105,4,0.08369782313551316,0.0029730953451702425,0.05452609783553416,0.17172829937959133,0.0002798702131239979,0.016729321956492973,0.0002778839984190581,8.708278805510133,0.0,0.04912291363802591,1.3097330953194626,,,,in_sample,exact_corr_curve
2022-08-09,0.004098360655737705,7207.396,4,0.16978928601583113,0.0029660022493401095,0.05446101586768383,0.20450391526844797,0.00027241467551641923,0.01650498941279331,0.0002705464554511492,9.238772876755405,0.0,0.018121761907459084,0.45786635503146733,,,,in_sample,exact_corr_curve
2022-08-10,0.004098360655737705,7212.075,4,0.2014729961362426,0.0029590351932804585,0.05439701456220239,0.2131921127310944,0.00026509377659615147,0.016281700666581224,0.00026333929592281644,8.681957080370731,0.0,0.0039963773467762455,0.06291897452262185,,,,in_sample,exact_corr_curve
2022-08-11,0.004098360655737705,7294.486,4,0.2098717499783931,0.0029521939544766064,0.05433409569024414,0.09946402825157068,0.00025790721656458515,0.016059489922304045,0.00025626228965092336,6.909143045540899,0.0,-0.05663724448800922,-1.2954137351786414,,,,in_sample,exact_corr_curve
2022-08-12,0.004098360655737705,7228.835,3,0.09993246848882723,0.002945478252772537,0.054272260435442865,0.10943285793907362,0.0005314945379460854,0.02305416530577686,0.0002493151468245243,7.803488154705327,0.0,0.00866957763129365,0.3477574197092563,,,,in_sample,exact_corr_curve
2022-08-15,0.004098360655737705,7283.5,3,0.10956919083539284,0.0032011403264688904,0.05657862075438823,0.12857123851401275,0.0005274222437190301,0.022965675337751994,0.0005137880224118424,7.808563159593837,0.0,0.012600057675757628,0.4435284209075836,,,,in_sample,exact_corr_curve
2022-08-16,0.004098360655737705,7324.62,3,0.12806998436332304,0.003197334846077718,0.05654498073284417,0.12619450127203602,0.0005156046061413621,0.022706928593303016,0.0005098513949430383,7.750157973557328,0.0,0.003161247752407819,0.18068207584298576,,,,in_sample,exact_corr_curve
2022-08-17,0.004098360655737705,7328.674,3,0.12577242711641928,0.0031862914917510548,0.056447245209585335,0.1090122015753941,0.0005037428134056829,0.02244421558900384,0.0004984274569585131,7.715283693830894,0.0,-0.004478336516733837,-0.04716281234565184,,,,in_sample,exact_corr_curve
2022-08-18,0.004098360655737705,7351.437,3,0.10916254846039296,0.003175206875281086,0.05634897403929451,0.08333460911766868,0.0004920335223359151,0.022181828651757166,0.0004869608348263738,7.434539048072391,0.0,-0.007916447443776288,-0.12156740815309591,,,,in_sample,exact_corr_curve
2022-08-19,0.004098360655737705,7234.405,3,0.08434039412530879,0.0031642647686758,0.05625179791505157,0.10702294384473177,0.00048048254612861505,0.021919912092173522,0.00047564163383170447,7.740138374752776,0.0,0.014857680531567727,0.5006095442475732,,,,in_sample,exact_corr_curve
2022-08-22,0.004098360655737705,7288.577,4,0.10723956200891574,0.0031534706042552286,0.056155770890045024,0.1300489584165944,0.000342648386066148,0.018510764059491116,0.00046447547350687916,10.606939123438847,0.0,0.01406836080185461,0.443368072489797,,,,in_sample,exact_corr_curve
2022-08-23,0.004098360655737705,7306.021,4,0.12949847465291292,0.0030246672408178314,0.05499697483332907,0.13253871218773686,0.0003328220516214358,0.018243411183806492,0.00033123320013759763,10.559595157521148,0.0,0.004633220478012225,0.19936828572977933,,,,in_sample,exact_corr_curve
2022-08-24,0.004098360655737705,7039.41,4,0.13190528333115653,0.0030154847208520544,0.05491342933064784,0.17928988080619662,0.00032458699199826746,0.018016297954859303,0.0003217342258651316,10.185635994610836,0.0,0.027133169702329683,0.8007739490357192,,,,in_sample,exact_corr_curve
2022-08-25,0.004098360655737705,7016.306,4,0.17709895655825114,0.003007789216507624,0.05484331514877291,0.20430395910906202,0.0003164982702028102,0.01779039825869028,0.00031377351376716373,10.161400574993545,0.0,0.015509914993568786,0.4565425923328066,,,,in_sample,exact_corr_curve
2022-08-26,0.004098360655737705,6980.18,4,0.2012797014316592,0.003000230462039994,0.054774359531079814,0.2017351390319357,0.00030853964611222664,0.017565296641737272,0.0003059542643141258,10.418782226775134,0.0,0.0010280955502100387,0.05517830242951008,,,,in_sample,exact_corr_curve
2022-08-29,0.004098360655737705,7021.315,4,0.1987964605079445,0.002992793281367681,0.0547064281539901,0.21582551437310366,0.0003007110284381243,0.01734102155116948,0.000298260778415998,10.073396135276301,0.0,0.009148465382071579,0.25547142354775965,,,,in_sample,exact_corr_curve
2022-08-30,0.004098360655737705,6976.722,4,0.212417420959496,0.002985477589183444,0.05463952405707286,0.14310270090768296,0.00029301244535692207,0.01711760629752075,0.0002906929678256219,9.239370542382819,0.0,-0.034248856420415696,-0.8190560258756141,,,,in_sample,exact_corr_curve
2022-08-31,0.004098360655737705,6750.743,4,0.14211733723894796,0.0029782834118176034,0.05457365125972059,0.15820134896251653,0.00028544387012180346,0.01689508419990275,0.00028325085978073096,10.295677335346916,0.0,0.012240958642547171,0.40587132290666506,,,,in_sample,exact_corr_curve
