date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,sessions_to_expiry,tau,implied_carry,excluded,delta,spot_state,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,transition_cross_covariance,curve_log_likelihood,return_log_likelihood,curve_innovation_mean,standardized_curve_innovation,log_return,return_residual,standardized_return_residual,sample,model,maturity_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error
2025-07-22,IM2509,2025-09-19,6515.4,118700,178632,close,6637.104,False,0.014,,,43.0,0.1762295081967213,0.1190171364144479,False,0.004098360655737705,6637.104,4,0.19457284590980634,0.003061887451758178,0.0553343243544021,0.14953921334934,0.00037162369083691574,0.019277543693036095,0.0003682629505137345,8.177087597407333,0.0,-0.012516270322953767,-0.1475001264687861,,,,in_sample,exact_rho0_curve,0.5265171538548246,0.1433221595393183,0.1196111794958376,6487.552514609674,6514.717952027219,-0.000594043081389703,-0.024305023124870387,0.6820479727803104,27.847485390325346
2025-07-22,IM2512,2025-12-19,6331.0,26255,77150,close,6637.104,False,0.014,,,102.0,0.4180327868852459,0.1269517197948663,False,0.004098360655737705,6637.104,4,0.19457284590980634,0.003061887451758178,0.0553343243544021,0.14953921334934,0.00037162369083691574,0.019277543693036095,0.0003682629505137345,8.177087597407333,0.0,-0.012516270322953767,-0.1475001264687861,,,,in_sample,exact_rho0_curve,0.28025152655318536,0.11581025641612627,0.10318951214482035,6360.555387055713,6394.201623971344,0.023762207650045955,0.01114146337874003,-63.201623971343906,-29.555387055713254
2025-07-22,IM2603,2026-03-20,6172.8,7964,9821,close,6637.104,False,0.014,,,159.0,0.6516393442622951,0.12529343352364272,False,0.004098360655737705,6637.104,4,0.19457284590980634,0.003061887451758178,0.0553343243544021,0.14953921334934,0.00037162369083691574,0.019277543693036095,0.0003682629505137345,8.177087597407333,0.0,-0.012516270322953767,-0.1475001264687861,,,,in_sample,exact_rho0_curve,0.18479486476244167,0.10505594639564618,0.09673396235687332,6254.74319156025,6288.754376779549,0.028559471166769407,0.020237487127996542,-115.95437677954851,-81.94319156024994
2025-07-23,IM2508,2025-08-15,6568.4,42382,64984,close,6607.22,False,0.014,,,17.0,0.06967213114754098,0.09857784738366263,False,0.004098360655737705,6607.22,4,0.14752915809821898,0.0030531695274302125,0.055255493187828957,0.12820346588643722,0.0003626144161630735,0.01904243724324892,0.0003592446185816184,8.521724012736637,0.0,7.459008545064941e-05,0.2179975206367232,,,,in_sample,exact_rho0_curve,0.760193561125509,0.1331739416979997,0.1184826749143098,6552.586701942191,6559.297179082251,-0.01990482753064718,-0.03459609431433708,9.102820917748431,15.813298057808424
2025-07-23,IM2509,2025-09-19,6500.0,131364,182055,close,6607.22,False,0.014,,,42.0,0.1721311475409836,0.1090485362049282,False,0.004098360655737705,6607.22,4,0.14752915809821898,0.0030531695274302125,0.055255493187828957,0.12820346588643722,0.0003626144161630735,0.01904243724324892,0.0003592446185816184,8.521724012736637,0.0,7.459008545064941e-05,0.2179975206367232,,,,in_sample,exact_rho0_curve,0.5334108770598188,0.11899193523972915,0.10868340080725453,6488.884318878385,6500.408545476208,0.0003651353976736743,-0.009943399034800945,-0.40854547620801895,11.115681121615125
2025-07-23,IM2512,2025-12-19,6318.8,29691,78973,close,6607.22,False,0.014,,,101.0,0.4139344262295082,0.12182788521456274,False,0.004098360655737705,6607.22,4,0.14752915809821898,0.0030531695274302125,0.055255493187828957,0.12820346588643722,0.0003626144161630735,0.01904243724324892,0.0003592446185816184,8.521724012736637,0.0,7.459008545064941e-05,0.2179975206367232,,,,in_sample,exact_rho0_curve,0.282708374321113,0.10278695696665034,0.09732342193882731,6368.799640989166,6383.21926865645,0.024504463275735425,0.019040928247912398,-64.41926865645019,-49.99964098916553
2025-07-23,IM2603,2026-03-20,6160.0,8303,12266,close,6607.22,False,0.014,,,158.0,0.6475409836065574,0.1222344048323466,False,0.004098360655737705,6607.22,4,0.14752915809821898,0.0030531695274302125,0.055255493187828957,0.12820346588643722,0.0003626144161630735,0.01904243724324892,0.0003592446185816184,8.521724012736637,0.0,7.459008545064941e-05,0.2179975206367232,,,,in_sample,exact_rho0_curve,0.18593498564512975,0.09643747938931838,0.09284415708533854,6263.7643861530105,6278.35602957492,0.02939024774700806,0.025796925443028224,-118.35602957492029,-103.76438615301049
2025-07-24,IM2508,2025-08-15,6675.8,43342,64427,close,6701.12,False,0.014,,,16.0,0.06557377049180328,0.07173084703134841,False,0.004098360655737705,6701.12,4,0.12690412086713496,0.0030447504677967455,0.05517925758649481,0.09358053161046931,0.0003537433346099346,0.01880806567964751,0.0003505354498076561,8.255222457940437,0.0,-0.006809581070769307,0.029975970063843727,,,,in_sample,exact_rho0_curve,0.7719673259226748,0.11797322569162508,0.09224850360301132,6655.587717817943,6666.824283884397,-0.020517656571662907,-0.04624237866027667,8.975716115603063,20.212282182057606
2025-07-24,IM2509,2025-09-19,6618.6,124051,181457,close,6701.12,False,0.014,,,41.0,0.1680327868852459,0.08774042658030966,False,0.004098360655737705,6701.12,4,0.12690412086713496,0.0030447504677967455,0.05517925758649481,0.09358053161046931,0.0003537433346099346,0.01880806567964751,0.0003505354498076561,8.255222457940437,0.0,-0.006809581070769307,0.029975970063843727,,,,in_sample,exact_rho0_curve,0.5404417079918579,0.1082926792663702,0.0902832217720787,6595.782403055077,6615.772655237059,-0.0025427951917690456,-0.02055225268606055,2.8273447629417205,22.817596944923025
2025-07-24,IM2512,2025-12-19,6435.4,29081,79069,close,6701.12,False,0.014,,,100.0,0.4098360655737705,0.11272405292250699,False,0.004098360655737705,6701.12,4,0.12690412086713496,0.0030447504677967455,0.05517925758649481,0.09358053161046931,0.0003537433346099346,0.01880806567964751,0.0003505354498076561,8.255222457940437,0.0,-0.006809581070769307,0.029975970063843727,,,,in_sample,exact_rho0_curve,0.2852032944166688,0.09706785720567004,0.08756385976788109,6476.82533471296,6502.102289411947,0.025160193154625907,0.01565619571683695,-66.70228941194728,-41.42533471296065
2025-07-24,IM2603,2026-03-20,6273.2,8632,13360,close,6701.12,False,0.014,,,157.0,0.6434426229508197,0.11655473133703398,False,0.004098360655737705,6701.12,4,0.12690412086713496,0.0030447504677967455,0.05517925758649481,0.09358053161046931,0.0003537433346099346,0.01880806567964751,0.0003505354498076561,8.255222457940437,0.0,-0.006809581070769307,0.029975970063843727,,,,in_sample,exact_rho0_curve,0.187088608505768,0.09265461999061096,0.08642015604616363,6370.417070469013,6396.023450804883,0.030134575290870352,0.023900111346423017,-122.82345080488358,-97.21707046901338
2025-07-25,IM2508,2025-08-15,6668.2,32877,60791,close,6706.61,False,0.014,,,15.0,0.06147540983606557,0.10743002021358362,False,0.004098360655737705,6706.61,4,0.09343450328130429,0.00303646054798488,0.05510408830554118,0.12483583553372618,0.00034500831143815505,0.01857439935605335,0.0003419598708347796,8.901982127458668,0.0,0.024572348357903513,0.8906013967328579,,,,in_sample,exact_rho0_curve,0.783997332986216,0.09222019019658102,0.11683875093469384,6674.43788645838,6664.344191148835,-0.009408730721110217,0.015209830017002601,3.855808851164511,-6.237886458379762
