model,mode,variant,parameter,estimate,standard_error,fixed,log_likelihood,curve_log_likelihood,return_log_likelihood,n_likelihood_observations,n_estimated_parameters,aic,bic,optimizer_converged,optimizer_message,gradient_norm,hessian_stable,half_life_sessions
exact_rho0_joint,joint,exact,sigma_epsilon,0.020047486305968077,,False,8603.164370332328,6431.944569372706,2171.2198009596214,3722,5,-17196.328740664656,-17165.218658478643,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.003789439992886847,False,20.43254258511216
exact_rho0_joint,joint,exact,mu,0.16501517823486017,,False,8603.164370332328,6431.944569372706,2171.2198009596214,3722,5,-17196.328740664656,-17165.218658478643,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.003789439992886847,False,20.43254258511216
exact_rho0_joint,joint,exact,rho,0.0,,True,8603.164370332328,6431.944569372706,2171.2198009596214,3722,5,-17196.328740664656,-17165.218658478643,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.003789439992886847,False,20.43254258511216
exact_rho0_joint,joint,exact,sigma,0.25,,True,8603.164370332328,6431.944569372706,2171.2198009596214,3722,5,-17196.328740664656,-17165.218658478643,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.003789439992886847,False,20.43254258511216
exact_corr_joint,joint,exact,kappa,8.277688333835751,,False,8605.945864304365,6434.7559243407995,2171.1899399635668,3722,6,-17199.89172860873,-17162.559629985517,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.004171795803422763,False,20.43178061745838
exact_corr_joint,joint,exact,theta,0.09159890040964375,,False,8605.945864304365,6434.7559243407995,2171.1899399635668,3722,6,-17199.89172860873,-17162.559629985517,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.004171795803422763,False,20.43178061745838
exact_corr_joint,joint,exact,eta,0.828334878797262,,False,8605.945864304365,6434.7559243407995,2171.1899399635668,3722,6,-17199.89172860873,-17162.559629985517,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.004171795803422763,False,20.43178061745838
exact_corr_joint,joint,exact,rho,-0.09595295321959925,,False,8605.945864304365,6434.7559243407995,2171.1899399635668,3722,6,-17199.89172860873,-17162.559629985517,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.004171795803422763,False,20.43178061745838
exact_corr_joint,joint,exact,sigma_epsilon,0.02004078501538586,,False,8605.945864304365,6434.7559243407995,2171.1899399635668,3722,6,-17199.89172860873,-17162.559629985517,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.004171795803422763,False,20.43178061745838
exact_corr_joint,joint,exact,mu,0.16949019143563204,,False,8605.945864304365,6434.7559243407995,2171.1899399635668,3722,6,-17199.89172860873,-17162.559629985517,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.004171795803422763,False,20.43178061745838
exact_corr_joint,joint,exact,sigma,0.25,,True,8605.945864304365,6434.7559243407995,2171.1899399635668,3722,6,-17199.89172860873,-17162.559629985517,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.004171795803422763,False,20.43178061745838
