model,date,mean_carry_residual,carry_rmse,mean_futures_residual,futures_rmse,n_contracts
exact_rho0_curve,2026-01-14,0.008003642998058063,0.011401182009830256,-22.128793303407594,32.19309716417936,3
exact_rho0_curve,2026-01-15,-0.0006339705457612047,0.013935115051985004,-12.896402575635875,30.170277224444227,3
exact_rho0_curve,2026-01-16,0.004671495638769601,0.013916829509299254,-21.81482378508402,38.93105989410653,3
exact_rho0_curve,2026-01-19,0.0049489402791169715,0.006509975579683563,-18.106153778433054,24.526831058591622,4
exact_rho0_curve,2026-01-20,0.0018946766654275807,0.007341233085884272,-15.171634265147077,23.66275099594149,4
exact_rho0_curve,2026-01-21,0.0007524003711779515,0.012164577276592503,-19.36272376239117,32.569770373837194,4
exact_rho0_curve,2026-01-22,0.0034826115292499213,0.009361126793806896,-21.58292832479242,32.33696324069003,4
exact_rho0_curve,2026-01-23,-0.0007878930310476172,0.017353509231010582,-18.53855415800126,31.873042279746404,4
exact_rho0_curve,2026-01-26,0.00856186805781757,0.012237618611826925,-7.62063591725564,8.430928001034028,4
exact_rho0_curve,2026-01-27,-0.002538886432203177,0.006049406985103719,0.2671273388671125,3.344258795728527,4
exact_rho0_curve,2026-01-28,0.0009285621142933508,0.006927326705664097,-7.995113674018739,11.328620205605791,4
exact_rho0_curve,2026-01-29,0.0003904884378586465,0.009511046141974145,-7.974820094214465,12.24757982148717,4
exact_rho0_curve,2026-01-30,0.0013892216137167982,0.013950745382574499,-11.14509827584925,16.25363397750347,4
exact_rho0_curve,2026-02-02,0.00666307619636498,0.029938670983565705,12.304256127608141,22.379983522595435,4
exact_rho0_curve,2026-02-03,-0.005528513046159471,0.014029756594625074,-2.547302371355954,9.733755003671263,4
exact_rho0_curve,2026-02-04,0.004450577208614549,0.025953476544034078,-35.23760654091052,48.460721499912175,4
exact_rho0_curve,2026-02-05,0.009202815618550741,0.023214977210657115,-36.65391781220637,47.64808769857716,4
exact_rho0_curve,2026-02-06,0.00342645781388292,0.017480689452836595,4.0742690354293245,9.1361659011107,4
exact_rho0_curve,2026-02-09,-0.003764653399743082,0.015563437409949787,-10.815355594403323,24.507762643771166,3
exact_rho0_curve,2026-02-10,0.004466909722942607,0.008430819839801436,-22.106742022073377,29.570511957326335,3
exact_rho0_curve,2026-02-11,0.0011105644295941349,0.010098981550970986,-16.48191391928928,24.741248729481732,3
exact_rho0_curve,2026-02-12,0.003042491336203527,0.015203086186940828,-28.889498206381177,41.67450995337227,3
exact_rho0_curve,2026-02-13,0.008602783038641223,0.010851085006316855,-30.17394673199154,37.261798304334874,3
exact_rho0_curve,2026-02-24,0.0048142636000102,0.006009109690712575,-18.00340620063859,23.185978313603577,3
exact_rho0_curve,2026-02-25,0.001263235845615952,0.00602507570813277,-10.600760717530193,19.300111654063798,4
exact_rho0_curve,2026-02-26,0.004793987732185499,0.00661655098347404,-14.659367473632074,21.85554765362118,4
exact_rho0_curve,2026-02-27,0.0034704785828675415,0.011851911180790042,-23.85904114275081,39.91704861465744,4
exact_rho0_curve,2026-03-02,0.004234395519643712,0.009552476173810347,-14.854874993095564,26.734632623319712,4
exact_rho0_curve,2026-03-03,0.0010276712058054915,0.013360344243001379,-19.5354547602019,33.667118170661745,4
exact_rho0_curve,2026-03-04,0.0057073757294044646,0.009822931119587841,-21.912509035096264,33.94622415026771,4
exact_rho0_curve,2026-03-05,0.004814891257641025,0.00841420336451469,-17.477768355102626,28.47589115971934,4
exact_rho0_curve,2026-03-06,0.003397903112622537,0.010666282307932089,-18.534941313095715,32.90034511467981,4
exact_rho0_curve,2026-03-09,0.00603751325560682,0.0222848996372368,-37.93714554360645,57.27913714797664,4
exact_rho0_curve,2026-03-10,0.0047129547485059466,0.01115850884126404,-14.004142479257098,25.245078243655723,4
exact_rho0_curve,2026-03-11,0.0013801086114001541,0.019112607547266302,2.6499325574461636,14.251174686150556,4
exact_rho0_curve,2026-03-12,-0.003662216807532176,0.037664292055444686,20.953309931070862,29.725745900908844,4
exact_rho0_curve,2026-03-13,-0.002649403251451063,0.014040336043949731,-10.81250961002388,26.49810171569639,3
exact_rho0_curve,2026-03-16,0.003735016505431963,0.013082761706907383,-23.993128610034848,37.835824836209945,3
exact_rho0_curve,2026-03-17,0.005802046305150239,0.02006793689153167,-34.27962417250031,51.87426042071227,3
exact_rho0_curve,2026-03-18,0.007990856800832996,0.018364919672733196,-37.52860291247938,55.24190279256735,3
exact_rho0_curve,2026-03-19,0.008024079745485172,0.027891900865054046,-47.9346467103278,73.32791687901162,3
exact_rho0_curve,2026-03-20,0.009084714724868126,0.020731044677219538,-40.15345977471467,58.40115999146448,3
exact_rho0_curve,2026-03-23,0.008149663757198326,0.02417708322821162,-36.3497148558838,61.017764632424154,4
exact_rho0_curve,2026-03-24,0.007007439649023624,0.020372842903631574,-29.09603277737756,46.61581548377772,4
exact_rho0_curve,2026-03-25,0.008341101424450242,0.012486907013863827,-21.214952174929294,36.037191111066726,4
exact_rho0_curve,2026-03-26,0.0043269577367272966,0.012911222042131902,-20.969178996434266,38.21868383203567,4
exact_rho0_curve,2026-03-27,0.0028080725163724604,0.019398158629383815,-25.278396232311707,46.83739251784151,4
exact_rho0_curve,2026-03-30,0.007877975107590092,0.013771175210853262,-25.491840868437066,42.6588226964317,4
exact_rho0_curve,2026-03-31,0.006022076038812045,0.02294072360700284,-31.280211752215337,52.06138607739982,4
exact_rho0_curve,2026-04-01,0.006066167972084292,0.015192720664259144,-23.508462266946708,40.98638705876476,4
exact_rho0_curve,2026-04-02,0.007343958506073282,0.01976187886848521,-29.451273672596926,47.68969988181897,4
exact_rho0_curve,2026-04-03,0.007567542110995307,0.029019573925410474,-36.89881110291685,58.617132094214774,4
exact_rho0_curve,2026-04-07,0.007683597511796911,0.016495682780007126,-26.72067088171889,43.81795298074157,4
exact_rho0_curve,2026-04-08,0.004706848474044968,0.031652872366396585,-35.42806521802618,55.238859758960096,4
exact_rho0_curve,2026-04-09,0.010925596944131939,0.02433673435782427,-36.23203748981496,53.59077162261417,4
exact_rho0_curve,2026-04-10,0.007913643467284131,0.015566402934633983,-27.34196004356545,41.020496881375195,3
exact_rho0_curve,2026-04-13,0.0070474703555391165,0.0126530359845501,-23.318251491794097,34.896065303901565,3
exact_rho0_curve,2026-04-14,0.004752929505307914,0.012100251401528752,-19.7060845707086,31.1959914774335,3
exact_rho0_curve,2026-04-15,0.00193098885609648,0.012336649354869934,-15.62011727548967,27.6090854295101,3
exact_rho0_curve,2026-04-16,0.0030772203148922844,0.019840996643901265,-24.04664277749028,40.97240469620756,3
exact_rho0_curve,2026-04-17,0.005484938031784556,0.019276974688219074,-27.20625001787509,43.146464715957144,3
exact_rho0_curve,2026-04-20,0.007987544069396606,0.011785207339901859,-34.13723789827918,47.58468292932311,4
exact_rho0_curve,2026-04-21,0.004690353619998006,0.011015020999582141,-28.641177841940134,43.24229847212698,4
exact_rho0_curve,2026-04-22,0.00552613259351856,0.020120088629360683,-41.543782987494524,60.420084773758745,4
exact_rho0_curve,2026-04-23,0.0075599115638696306,0.022144668806649264,-45.95302165749467,64.11473913031676,4
exact_rho0_curve,2026-04-24,0.007265939951121018,0.016105951074685647,-37.2734308969259,52.235368557003056,4
exact_rho0_curve,2026-04-27,0.006767994962043222,0.014364275843594258,-35.22265006390444,50.05967908637127,4
exact_rho0_curve,2026-04-28,0.005844508099399848,0.017940416737338965,-35.542919673333245,49.61661268981361,4
exact_rho0_curve,2026-04-29,0.005860591306338411,0.020098400993234806,-39.078302668376864,54.62717744141546,4
exact_rho0_curve,2026-04-30,0.007870407110036982,0.019073653480724137,-39.33658373517187,52.423156876189196,4
exact_rho0_curve,2026-05-06,0.00322210052700464,0.0062728040634933485,-7.758690868299254,15.678770269131569,4
exact_rho0_curve,2026-05-07,0.002552749484021682,0.01512526009431809,-26.064882067104918,35.89848040221071,4
exact_rho0_curve,2026-05-08,0.005595207434840969,0.006074859597074861,-21.62543189285255,26.807629767455225,3
exact_rho0_curve,2026-05-11,0.006385127322471683,0.006806325689687614,-18.823875676169944,22.74532765521562,3
exact_rho0_curve,2026-05-12,0.0011148621936193787,0.004336964565055561,-10.533504121731918,19.313855206497486,3
