date,delta,spot,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,transition_cross_covariance,curve_log_likelihood,return_log_likelihood,curve_innovation_mean,standardized_curve_innovation,log_return,return_residual,standardized_return_residual,smoothed_state,smoothed_variance,smoothed_std,model
2025-07-15,0.004098360655737705,6442.834,3,0.18149961694429612,0.0030066934826343825,0.05483332456302811,0.19683358256158265,0.0004453488195739452,0.021103289306976417,0.00044083430425370955,7.523020045610377,0.0,0.01205415427093176,0.4034014623851236,,,,0.19743162831337233,0.00039128350949205225,0.019780887479889576,exact_corr_curve
2025-07-16,0.004098360655737705,6462.063,3,0.1941712006538291,0.0029972303149821567,0.05474696626281822,0.2023955796046553,0.0004352744290284156,0.020863231509725803,0.0004310573914173663,7.514970935427018,0.0,0.007997280505007087,0.290570908639813,,,,0.19832953523455962,0.000383331701352767,0.019578858530383405,exact_corr_curve
2025-07-17,0.004098360655737705,6535.671,3,0.19955471090709903,0.0029877921326168363,0.05466070007433893,0.17181098262679065,0.0004253357158785145,0.02062366882682406,0.00042130629223890596,7.127414013340176,0.0,-0.012046842143372075,-0.23662811379693585,,,,0.1707194060383222,0.00037545261613039456,0.019376599705066794,exact_corr_curve
2025-07-18,0.004098360655737705,6552.074,3,0.16995158631940538,0.0029784810594793154,0.05457546206381871,0.15848072132545082,0.0004155354332300366,0.020384686243109965,0.00041168651651222863,7.170523815829199,0.0,-0.00215868807127925,0.04154499564907821,,,,0.16205421765824887,0.0003674632647568788,0.019169331359149666,exact_corr_curve
2025-07-21,0.004098360655737705,6612.259,4,0.15704909862680394,0.002969299674813911,0.05449128072282675,0.18954976326921955,0.0003924957053296182,0.019811504368159885,0.00040220072899482324,9.79069587663097,0.0,0.021881235005915482,0.7471007043505866,,,,0.1834309043620753,0.00034921053122441106,0.01868717558178365,exact_corr_curve
2025-07-22,0.004098360655737705,6637.104,4,0.1871211221407093,0.002947714929554258,0.05429286260231871,0.14262493302650722,0.00038322181394510754,0.019576052052063704,0.0003799003555095596,8.937415176852829,0.0,-0.014809843130456845,-0.25917752364720964,,,,0.13964379949321493,0.0003417370144191614,0.018486130325710715,exact_corr_curve
2025-07-23,0.004098360655737705,6607.22,4,0.1417021291444389,0.002939026694000195,0.05421279087079169,0.12169048304243663,0.00037429975867232974,0.01934682812949786,0.0003709240671423432,9.26452403393565,0.0,-0.002444303809390624,0.09573323559958069,,,,0.11808103844459249,0.00033451668535083173,0.018289797302070674,exact_corr_curve
2025-07-24,0.004098360655737705,6701.12,4,0.1214394743348364,0.0029306680757435984,0.05413564514941702,0.08793572634672306,0.0003655091491956173,0.019118293574365293,0.000362288324320246,9.00071052406534,0.0,-0.00923124073657806,-0.08653659739774294,,,,0.09224150315010546,0.00032737585129265234,0.018093530647517425,exact_corr_curve
2025-07-25,0.004098360655737705,6706.61,4,0.08876792176823918,0.0029224326023451264,0.054059528321519106,0.11828144836283427,0.0003568468797498754,0.018890391201610287,0.00035377980914415205,9.538852418096248,0.0,0.02215312441811377,0.7644131187095013,,,,0.12433621080957012,0.0003203127986133393,0.017897284671517612,exact_corr_curve
2025-07-28,0.004098360655737705,6729.979,4,0.11813983699068321,0.0029143173641719613,0.05398441779043246,0.17089787316623206,0.00034831324341531075,0.018663152022509778,0.00034539551551425533,9.512549534872875,0.0,0.03296826642816651,1.0283894453631026,,,,0.16922764369884621,0.0003133285306173359,0.01770108840205415,exact_corr_curve
2025-07-29,0.004098360655737705,6773.884,4,0.16906777891979566,0.0029063226357959916,0.05391032030878681,0.15321670470950652,0.0003399085333066109,0.01843660850879605,0.00033713572710569723,9.6115428147783,0.0,-0.001818119167101567,0.09710539887547776,,,,0.1546693473156746,0.0003064240645386493,0.017504972566063887,exact_corr_curve
2025-07-30,0.004098360655737705,6718.482,4,0.15195400648528345,0.0028984486918214093,0.05383724260975305,0.1611225624098753,0.0003316329900261011,0.018210793228909637,0.00032900072762699357,9.696752063092346,0.0,0.011353565891017348,0.45370048547819597,,,,0.16475157715298572,0.0002996003883954347,0.017308968438224003,exact_corr_curve
2025-07-31,0.004098360655737705,6661.186,4,0.1596061619361458,0.002890695757656254,0.053765190947826585,0.18980165860231388,0.0003234868002287907,0.017985738801305624,0.0003209907499594413,9.728937338614182,0.0,0.021243955458337474,0.6890412198530287,,,,0.1922874074976044,0.000292858458611827,0.01711310780109291,exact_corr_curve
2025-08-01,0.004098360655737705,6670.472,4,0.18736493404818833,0.002883064008168078,0.053694171081860254,0.2168114408806696,0.00031547009600941053,0.017761477866703845,0.00031310597476821313,9.571686698466733,0.0,0.01869038163200274,0.5719119495794516,,,,0.21025358438027136,0.000286199198289274,0.016917422921038358,exact_corr_curve
2025-08-04,0.004098360655737705,6739.694,4,0.21350796122135424,0.0028755535671096937,0.05362418826527534,0.14945455166461002,0.0003075829543780783,0.017538043060104463,0.0003053465299090653,8.57382082317572,0.0,-0.028037474325771958,-0.577751694412529,,,,0.15175036516179033,0.0002796234980312635,0.016721946598146506,exact_corr_curve
2025-08-05,0.004098360655737705,6787.481,4,0.14831258249049792,0.00286816450662795,0.053555247237109735,0.17076218615121833,0.00029982539681674936,0.017315466982347007,0.0002977124899208289,9.519913713497434,0.0,0.018346362011326355,0.6225640506135705,,,,0.17043046806594364,0.0002731324510594858,0.016526719307215387,exact_corr_curve
2025-08-06,0.004098360655737705,6861.309,4,0.1689364461573175,0.002860896846848195,0.053487352213847664,0.1609473979517117,0.0002921973889185837,0.01709378217126285,0.00029020387559609444,9.727184328218739,0.0,0.0011071366566697133,0.16296862984708027,,,,0.16566629264108512,0.0002667504213607387,0.01633249587052569,exact_corr_curve
2025-08-07,0.004098360655737705,6862.15,4,0.1594366185780265,0.002853750555536415,0.053420506882061826,0.20917214759422487,0.0002846988401122624,0.016873021072477283,0.00028282065363215164,8.783414838116146,0.0,0.03057025377898244,0.8621455617813107,,,,0.20705177033010613,0.0002628794301605613,0.016213556986687448,exact_corr_curve
2025-08-08,0.004098360655737705,6838.13,3,0.20611381602191853,0.002846725547840965,0.0533547143918976,0.18822460078749859,0.0006107745617706013,0.02471385364063244,0.00027556273636415273,7.013874637916583,0.0,-0.0017196923808292565,0.08171778258367994,,,,0.18420906863673045,0.0005181345050663747,0.022762568068352366,exact_corr_curve
2025-08-11,0.004098360655737705,6943.937,3,0.18583848467212621,0.0031522092505033095,0.05614453891967864,0.16871785048608026,0.000611477635905591,0.02472807384139717,0.0005911745530004845,7.055838149954298,0.0,-0.0014717321722646295,0.09011617573580177,,,,0.16442721531504623,0.0005183205008487254,0.02276665326412131,exact_corr_curve
2025-08-12,0.004098360655737705,6963.611,3,0.16695771407077253,0.0031528679247796723,0.056150404493464444,0.15046279307857752,0.0005993337643352821,0.024481294171985316,0.0005918550651951538,6.913462707704218,0.0,-0.0006815048347202831,0.12513309567831932,,,,0.14410109459886822,0.0005092606214372299,0.02256680352724395,exact_corr_curve
2025-08-13,0.004098360655737705,7064.334,3,0.1492884690197124,0.0031414909512562,0.05604900490870645,0.12010650360286085,0.0005868707828700536,0.024225416051536733,0.0005801008954955175,6.976964545462544,0.0,-0.007695435042022772,-0.09758529885034062,,,,0.1148371893133505,0.000499934652087024,0.022359218503494795,exact_corr_curve
2025-08-14,0.004098360655737705,6976.488,3,0.11990632545182042,0.0031298150199576434,0.05594474970859771,0.09547231947654768,0.0005745319121162613,0.02396939532229091,0.0005680378562697171,6.901717053333034,0.0,-0.004963897031707539,-0.005087579305121714,,,,0.09087308615947975,0.0004905494721163272,0.022148351453693507,exact_corr_curve
2025-08-15,0.004098360655737705,7117.501,3,0.09606266250163599,0.0031182553616507605,0.05584134097289176,0.06460658811802528,0.0005623334401152872,0.023713570800604603,0.000556094944991196,6.999058946694356,0.0,-0.009277225565348848,-0.14498222822500154,,,,0.0702728507444784,0.0004775864697988131,0.021853751847195783,exact_corr_curve
2025-08-18,0.004098360655737705,7237.602,4,0.06618742525205182,0.0031068272357702787,0.05573892029605775,0.09560517786578793,0.00038805522672375554,0.019699117409766244,0.0005442879270113391,10.356701981941356,0.0,0.01776021250162798,0.5542051531509065,,,,0.09853078283772362,0.00034560738966028944,0.0185905188109501,exact_corr_curve
2025-08-19,0.004098360655737705,7242.849,4,0.0961912574101138,0.0029435548717639598,0.05425453779882342,0.12526989248237813,0.0003767961267827662,0.019411237126540033,0.0003756023737021329,10.356286890014427,0.0,0.017796820733844546,0.5589526989108462,,,,0.11911890475993482,0.00033654196514702723,0.0183450801346581,exact_corr_curve
2025-08-20,0.004098360655737705,7305.461,4,0.1249040190426723,0.0029330067956265323,0.05415724139601769,0.07226664210291006,0.00036814859008879597,0.019187198599295206,0.00036470458294361383,9.671430652688775,0.0,-0.02482023458686649,-0.639312443918232,,,,0.07543688966324565,0.0003295253733468987,0.01815283375528181,exact_corr_curve
2025-08-21,0.004098360655737705,7253.343,4,0.0736016649305122,0.0029249053598166303,0.05408239417607758,0.10518915316234356,0.0003596603641688096,0.018964713659025006,0.00035633454928537975,10.328625021881763,0.0,0.01912760826326578,0.5824024107781619,,,,0.09962404782817758,0.0003226122432807896,0.017961409835555494,exact_corr_curve
2025-08-22,0.004098360655737705,7362.94,4,0.10546767896815008,0.0029169531741406025,0.05400882496537582,0.049611349267781844,0.00035129406275838404,0.018742840306591315,0.0003481187140523797,9.259345575892699,0.0,-0.02619863785148712,-0.6488133944618797,,,,0.05883659878301597,0.0003157734574334224,0.01777001568467013,exact_corr_curve
2025-08-25,0.004098360655737705,7477.728,4,0.05167338982999759,0.0029091152133152824,0.05393621430277882,0.12926668407193573,0.0003430494423577094,0.018521593947544292,0.00034002089072090753,9.521969799613087,0.0,0.042665120658779726,1.1869957541109282,,,,0.13060181582904998,0.00030900953471854744,0.017578667034748325,exact_corr_curve
