date,contract,expiry,sessions_to_expiry,tau,spot,futures_price,implied_carry,predicted_carry,fitted_carry,carry_prediction_error,carry_residual,predicted_futures_price,fitted_futures_price,futures_prediction_error,futures_residual,standardized_marginal_prediction_error
2024-03-28,IM2406,2024-06-21,55.0,0.22540983606557377,5382.236,5249.0,0.1252033058567095,0.1280616116574031,0.11769043044374464,-0.0028583058006936,0.007512875412964859,5245.61920974199,5257.89658655567,3.3807902580101654,-8.896586555670183,-0.1540556597211101
2024-03-28,IM2409,2024-09-20,118.0,0.48360655737704916,5382.236,5145.0,0.10721323551060649,0.11666317551123029,0.11266233845000101,-0.009449940000623797,-0.005449102939394518,5121.540723464115,5131.459632029,23.459276535884783,13.540367970999796,-0.8618667049184854
2024-03-29,IM2404,2024-04-19,13.0,0.05327868852459016,5441.26,5412.0,0.11520259218944301,0.12232046106875698,0.11555665911678402,-0.007117868879313968,-0.00035406692734100964,5409.94799246562,5411.89790779598,2.052007534380209,0.10209220401975472,-0.10992796808699501
2024-03-29,IM2405,2024-05-17,30.0,0.12295081967213115,5441.26,5375.0,0.1136502318132543,0.11993859595963749,0.1168453314860532,-0.006288364146383188,-0.003195099672798893,5370.845873654818,5372.888899024821,4.154126345181794,2.111100975179397,-0.19896849996439203
2024-03-29,IM2406,2024-06-21,54.0,0.22131147540983606,5441.26,5308.0,0.1260390850940073,0.11752690165620484,0.11589967496697982,0.008512183437802454,0.010139410127027473,5318.008867903814,5319.924355092881,-10.008867903813552,-11.924355092881342,0.4518941233046934
2024-03-29,IM2409,2024-09-20,117.0,0.47950819672131145,5441.26,5209.6,0.10473374471415133,0.11254388847973698,0.11188947576721035,-0.007810143765585656,-0.007155731053059028,5190.126389742703,5191.755287548804,19.47361025729697,17.844712451196756,-0.7092008679539378
2024-04-01,IM2404,2024-04-19,12.0,0.04918032786885246,5559.056,5541.6,0.07794918628833247,0.11609392819679935,0.0789175515581896,-0.03814474190846688,-0.0009683652698571216,5531.213864675427,5541.336090236169,10.386135324572933,0.2639097638311796,-0.555873989270676
2024-04-01,IM2405,2024-05-17,29.0,0.11885245901639344,5559.056,5503.0,0.09927304930094119,0.11711208670431023,0.09762975624889542,-0.017839037403369035,0.0016432930520457745,5491.344825414456,5504.07489270384,11.655174585544046,-1.0748927038403053,-0.5472258701167821
2024-04-01,IM2406,2024-06-21,53.0,0.21721311475409835,5559.056,5446.2,0.10842427967383282,0.11602779279359077,0.10361611444443394,-0.007603513119757946,0.004808165229398878,5437.212573712047,5451.890963761511,8.987426287952985,-5.6909637615108295,-0.3974433509050673
2024-04-01,IM2409,2024-09-20,116.0,0.47540983606557374,5559.056,5352.8,0.09352826870662312,0.11191344167764665,0.10459329513482217,-0.01838517297102353,-0.011065026428199051,5306.217766437302,5324.715942739581,46.58223356269809,28.084057260419286,-1.66206727628453
2024-04-02,IM2404,2024-04-19,11.0,0.045081967213114756,5531.052,5506.6,0.11228008809745882,0.08308908196541763,0.11186937824027245,0.02919100613204119,0.00041070985718637265,5513.851389742535,5506.701958992666,-7.251389742534229,-0.10195899266545894,0.400484789708802
2024-04-02,IM2405,2024-05-17,28.0,0.11475409836065574,5531.052,5470.4,0.11008626426278278,0.0999368647906888,0.11097017608726428,0.010149399472093978,-0.0008839118244814981,5476.775005554413,5469.845151767962,-6.375005554413292,0.5548482320373296,0.30151913360651644
2024-04-02,IM2406,2024-06-21,52.0,0.21311475409836064,5531.052,5414.2,0.1141943804424494,0.10497352593223688,0.10946058352675384,0.009220854510212512,0.0047337969156955595,5424.849905824786,5419.664828280929,-10.649905824786401,-5.464828280929396,0.4743838529471214
2024-04-02,IM2409,2024-09-20,115.0,0.4713114754098361,5531.052,5318.6,0.0971041121213068,0.10521557842226686,0.10580992487080278,-0.00811146630096006,-0.008705812749495973,5298.305665413552,5296.821699691816,20.294334586448713,21.778300308184043,-0.7299974531890976
2024-04-03,IM2404,2024-04-19,10.0,0.040983606557377046,5500.926,5475.0,0.12926965041605665,0.11186280428102399,0.13221607478665232,0.017406846135032655,-0.0029464243705956683,5478.90723298556,5474.338905759127,-3.907232985559858,0.6610942408733536,0.22430141776636692
2024-04-03,IM2405,2024-05-17,27.0,0.11065573770491803,5500.926,5433.0,0.12628495143170776,0.1109344375040979,0.12224684903942169,0.01535051392760986,0.0040381023922860665,5442.236458138483,5435.428219840464,-9.236458138482703,-2.4282198404644078,0.4411481842915987
2024-04-03,IM2406,2024-06-21,51.0,0.20901639344262296,5500.926,5374.4,0.1253285969778206,0.10941206324624397,0.11724123086546337,0.015916533731576615,0.00808736611235722,5392.309416625425,5383.492526089509,-17.909416625425365,-9.092526089509192,0.8056221377035706
2024-04-03,IM2409,2024-09-20,114.0,0.4672131147540984,5500.926,5271.6,0.10514153385449626,0.10575619510797862,0.11097187456859992,-0.0006146612534823626,-0.0058303407141036545,5270.086330872554,5257.259640731846,1.5136691274465193,14.340359268154316,-0.05506406666196067
2024-04-08,IM2404,2024-04-19,9.0,0.036885245901639344,5399.915,5348.4,0.2738806572359564,0.1304647447401635,0.2728248264780931,0.14341591249579289,0.0010558307578633075,5376.767633285041,5348.608295232303,-28.367633285040938,-0.20829523230349878,1.7315424883225754
2024-04-08,IM2405,2024-05-17,26.0,0.10655737704918032,5399.915,5306.2,0.17829894398402998,0.12125718764843593,0.18302954749485645,0.05704175633559405,-0.004730603510826464,5338.550467662305,5303.525921011619,-32.350467662305164,2.674078988380643,1.583890081366612
2024-04-08,IM2406,2024-06-21,50.0,0.20491803278688525,5399.915,5241.8,0.15902511811503653,0.1166264945786716,0.14986475809426747,0.042398623536364935,0.00916036002076906,5287.5404439901195,5251.648743865599,-45.740443990119275,-9.848743865598408,2.110467519117615
2024-04-08,IM2409,2024-09-20,113.0,0.46311475409836067,5399.915,5135.0,0.12261966473734012,0.1106443863328791,0.1261395320836719,0.011975278404461026,-0.0035198673463317787,5163.557456467511,5126.636242402774,-28.557456467510747,8.36375759722614,1.067816857628068
2024-04-09,IM2404,2024-04-19,8.0,0.03278688524590164,5468.911,5431.6,0.22279570586206515,0.2562482325794617,0.2243748973285265,-0.03345252671739657,-0.0015791914664613493,5425.64586441072,5431.318776579853,5.954135589280668,0.28122342014739843,-0.37749267636570466
2024-04-09,IM2405,2024-05-17,25.0,0.10245901639344263,5468.911,5386.4,0.16237398382909143,0.17413322628796496,0.16239624177433823,-0.011759242458873526,-2.2257945246795252e-05,5379.914155572308,5386.38771618242,6.485844427691518,0.012283817579373135,-0.31509408213018647
2024-04-09,IM2406,2024-06-21,49.0,0.20081967213114754,5468.911,5322.4,0.14922171885214794,0.14464898626624956,0.13967226390288265,0.004572732585898381,0.00954945494926529,5327.289776275267,5332.616657680893,-4.88977627526765,-10.21665768089315,0.2237482791554082
2024-04-09,IM2409,2024-09-20,112.0,0.45901639344262296,5468.911,5218.6,0.11606682086031185,0.12364579953381946,0.12247400938514039,-0.007578978673507611,-0.006407188524828536,5200.476683200939,5203.274620609215,18.123316799061286,15.325379390785201,-0.6726166483076188
2024-04-10,IM2404,2024-04-19,7.0,0.028688524590163935,5367.052,5330.0,0.25547438420655993,0.21348316788398175,0.2575660005586526,0.041991216322578184,-0.002091616352092651,5336.42473905959,5329.68018088202,-6.424739059590138,0.31981911797993234,0.4417482569768656
2024-04-10,IM2405,2024-05-17,24.0,0.09836065573770492,5367.052,5280.6,0.17909705267294976,0.15663704337158815,0.17662332321537982,0.022460009301361605,0.0024737294575699342,5292.278697900868,5281.885019518477,-11.678697900867519,-1.2850195184764743,0.5800043527165667
2024-04-10,IM2406,2024-06-21,48.0,0.19672131147540983,5367.052,5218.0,0.1571700259681408,0.13631924849585228,0.14819863048356144,0.02085077747228853,0.00897139548457937,5239.447107888089,5227.217195087511,-21.447107888088794,-9.217195087510845,1.0024641400885739
2024-04-10,IM2409,2024-09-20,111.0,0.45491803278688525,5367.052,5111.2,0.12137004946085206,0.12086911754680525,0.12763613740941643,0.0005009319140468066,-0.0062660879485643695,5112.364888113779,5096.650982363252,-1.164888113778943,14.549017636747521,0.04424327324788573
2024-04-11,IM2404,2024-04-19,6.0,0.02459016393442623,5379.915,5353.8,0.21188341604107047,0.24391262924719803,0.21594647697202035,-0.03202921320612756,-0.00406306093094988,5349.584987925197,5353.2651214187235,4.215012074802871,0.5348785812766437,-0.31330545836465334
2024-04-11,IM2405,2024-05-17,23.0,0.0942622950819672,5379.915,5301.8,0.16916479032033677,0.1695423273365972,0.16281130616493877,-0.0003775370162604208,0.006353484155397993,5301.6113255198925,5304.97616719875,0.18867448010769294,-3.176167198749681,-0.0093830772187233
2024-04-11,IM2406,2024-06-21,47.0,0.19262295081967212,5379.915,5235.6,0.1551624302360843,0.14412868159113973,0.1438422263910901,0.01103374864494458,0.011320203844994214,5246.739332647324,5247.028844409001,-11.1393326473235,-11.428844409000703,0.5209912403858632
2024-04-11,IM2409,2024-09-20,110.0,0.45081967213114754,5379.915,5128.6,0.12011750173230766,0.1257102274910713,0.12839303036166877,-0.005592725758763642,-0.008275528629361109,5115.685493051954,5109.50201457669,12.914506948046437,19.097985423310092,-0.49155066628088556
2024-04-12,IM2405,2024-05-17,22.0,0.09016393442622951,5338.769,5253.0,0.19362570271531318,0.1584685944650711,0.1961846186934898,0.03515710825024207,-0.002558915978176618,5269.677921257415,5251.788157493493,-16.67792125741471,1.2118425065073097,0.8397278586500221
2024-04-12,IM2406,2024-06-21,46.0,0.1885245901639344,5338.769,5183.8,0.17024870988063462,0.14135290601780884,0.15990858357609478,0.02889580386282578,0.010340126304539843,5212.11616831511,5193.914989937114,-28.31616831511019,-10.114989937113933,1.3393461003106546
2024-04-12,IM2409,2024-09-20,109.0,0.44672131147540983,5338.769,5076.0,0.12698219024715227,0.1272007557451517,0.13520081945335724,-0.00021856549799942337,-0.008218629206204975,5075.504414386997,5057.397955724791,0.4955856130027314,18.602044275208755,-0.01911463029873965
2024-04-15,IM2405,2024-05-17,21.0,0.0860655737704918,5287.512,5197.0,0.21461770450872342,0.18759009054083525,0.2201518989856251,0.027027613967888164,-0.005534194476901677,5209.103057787395,5194.525239486692,-12.1030577873953,2.474760513307956,0.6173510176757111
2024-04-15,IM2406,2024-06-21,45.0,0.18442622950819673,5287.512,5120.0,0.18855963236791,0.15509166965780274,0.17255464376931784,0.03346796271010727,0.016004988598592174,5151.700267529828,5135.135233913131,-31.700267529828125,-15.135233913130833,1.5218710763601382
2024-04-15,IM2409,2024-09-20,108.0,0.4426229508196721,5287.512,5013.2,0.1343583773039392,0.13296499639367318,0.14197843560548096,0.0013933809102660288,-0.007620058301541749,5016.29280648424,4996.319898131296,-3.0928064842401,16.880101868703605,0.12063958275695817
2024-04-16,IM2405,2024-05-17,20.0,0.08196721311475409,5066.66,4986.4,0.20880492595159048,0.2090724567460785,0.21255967975401385,-0.000267530794488019,-0.0037547538024233773,4986.290655661714,4984.8655882341445,0.10934433828606416,1.5344117658551113,-0.005855741058214356
2024-04-16,IM2406,2024-06-21,44.0,0.18032786885245902,5066.66,4917.2,0.18004510868606333,0.16643677786006242,0.16805316523230387,0.013608330826000908,0.011991943453759452,4929.281436112631,4927.844860063876,-12.081436112631309,-10.644860063875967,0.606453092512322
2024-04-16,IM2409,2024-09-20,107.0,0.4385245901639344,5066.66,4814.2,0.13055432910722334,0.13917691870668586,0.1398318699223274,-0.008622589599462521,-0.009277540815104068,4796.030834804569,4794.653553968297,18.16916519543065,19.546446031702544,-0.7389323943727386
2024-04-17,IM2405,2024-05-17,19.0,0.0778688524590164,5287.456,5232.0,0.1494021323920468,0.20254226297823724,0.154788458385448,-0.05314013058619044,-0.005386325993401192,5210.394919427794,5229.806017949877,21.605080572206134,2.1939820501229406,-1.1127620611727833
2024-04-17,IM2406,2024-06-21,43.0,0.1762295081967213,5287.456,5157.4,0.1553193882414168,0.16259182957506046,0.14086473170162478,-0.007272441333643659,0.014454656539792027,5150.794413235271,5170.554383122027,6.605586764728287,-13.154383122026957,-0.31758297437492905
2024-04-17,IM2409,2024-09-20,106.0,0.4344262295081967,5287.456,5054.0,0.11794679416546501,0.1373501838037289,0.12858132815035853,-0.019403389638263893,-0.010634533984893516,5011.577158063865,5030.7047742640025,42.42284193613523,23.29522573599752,-1.6510924094593613
2024-04-18,IM2405,2024-05-17,18.0,0.07377049180327869,5286.719,5234.0,0.14985408276311507,0.15213381545131477,0.15249358410600472,-0.002279732688199698,-0.0026395013428896497,5233.119835587467,5232.980948804722,0.8801644125333041,1.0190511952778252,-0.04559164307063913
2024-04-18,IM2406,2024-06-21,42.0,0.1721311475409836,5286.719,5165.6,0.14864480198875082,0.13939551028500047,0.1380970613197165,0.009249291703750356,0.010547740669034328,5173.830656515743,5174.987155065709,-8.23065651574234,-9.387155065708612,0.3956323327599651
2024-04-18,IM2409,2024-09-20,105.0,0.430327868852459,5286.719,5062.6,0.1146619473621322,0.12787665478798244,0.1260840198190206,-0.013214707425850236,-0.011422072456888394,5033.892433261916,5037.777180713353,28.707566738084097,24.822819286647245,-1.1178005539021878
2024-04-19,IM2405,2024-05-17,17.0,0.06967213114754098,5264.389,5191.8,0.21328530076047697,0.1497813154277094,0.21686211174777242,0.06350398533276758,-0.0035768109872954534,5214.821792937853,5190.5063436422315,-23.021792937853206,1.2936563577686684,1.210707962953487
2024-04-19,IM2406,2024-06-21,41.0,0.1680327868852459,5264.389,5118.8,0.1809022659656357,0.13662132740953822,0.1662475660145956,0.044280938556097466,0.014654699951040101,5157.0292455534745,5131.420424144583,-38.22924555347436,-12.620424144583012,1.8542585642348712
2024-04-19,IM2409,2024-09-20,104.0,0.4262295081967213,5264.389,5018.2,0.12636618976728894,0.12538673009000134,0.13750624417863466,0.000979459677287603,-0.011140054411345718,5020.295408480258,4994.4289625501,-2.095408480257902,23.771037449900177,0.08238414739796299
2024-04-22,IM2405,2024-05-17,16.0,0.06557377049180328,5246.082,5189.2,0.18025503586196648,0.20640477826877332,0.18476060681263248,-0.026149742406806842,-0.004505570950666005,5180.309510290573,5187.667091456194,8.89048970942713,1.5329085438061156,-0.47437738947411207
2024-04-22,IM2406,2024-06-21,40.0,0.16393442622950818,5246.082,5118.4,0.16430169460457011,0.1607992689796665,0.14818825502503663,0.0035024256249036045,0.016113439579533484,5121.339666033884,5131.938369831962,-2.9396660338843503,-13.538369831961973,0.14349245322301235
2024-04-22,IM2409,2024-09-20,103.0,0.42213114754098363,5246.082,5014.2,0.12109379132403847,0.1351113587103519,0.12725055355521298,-0.014017567386313434,-0.006156762231174506,4984.617326373177,5001.185209016974,29.582673626822725,13.014790983025705,-1.1724597367667022
2024-04-22,IM2412,2024-12-20,163.0,0.6680327868852459,5246.082,4938.0,0.10459603442315468,0.12552283062880715,0.1192524629826079,-0.020926796205652465,-0.014656428559453219,4869.448103648608,4889.888081991831,68.55189635139232,48.111918008168686,-2.210023030736016
2024-04-23,IM2405,2024-05-17,15.0,0.06147540983606557,5218.428,5151.8,0.22302730012158392,0.17751800862606334,0.22688886980085857,0.045509291495520576,-0.0038615696792746457,5166.233383687671,5150.577151217886,-14.433383687671267,1.2228487821139424,0.784011350731705
2024-04-23,IM2406,2024-06-21,39.0,0.1598360655737705,5218.428,5082.8,0.17875578382070165,0.1444648877279563,0.16354264698737206,0.034290896092745354,0.015213136833329588,5110.734914528092,5095.174415585888,-27.934914528092122,-12.374415585887618,1.3755097722502847
2024-04-23,IM2409,2024-09-20,102.0,0.4180327868852459,5218.428,4976.0,0.12779454715078603,0.12562164153505656,0.1318835689435351,0.00217290561572947,-0.004089021792749059,4980.521982102728,4967.5015638556115,-4.521982102727634,8.498436144388506,0.18227661718018684
2024-04-23,IM2412,2024-12-20,162.0,0.6639344262295082,5218.428,4898.0,0.1094450410781749,0.11817748078119703,0.12166451857566797,-0.008732439703022121,-0.012219477497493067,4869.684697633801,4858.423617457026,28.31530236619892,39.57638254297399,-0.9312504269071246
2024-04-24,IM2405,2024-05-17,14.0,0.05737704918032787,5305.607,5275.4,0.11351156584456862,0.21445130432518777,0.11963043761846333,-0.10093973848061916,-0.00611887177389471,5244.935170542196,5273.5482228441215,30.464829457803717,1.8517771558781533,-1.6480195858862752
2024-04-24,IM2406,2024-06-21,38.0,0.1557377049180328,5305.607,5205.8,0.1359409086905525,0.15729338015913844,0.11810572667496086,-0.021352471468585932,0.017835182015591644,5188.517462753504,5220.2797840614585,17.28253724649585,-14.479784061458304,-0.8369932647671509
2024-04-24,IM2409,2024-09-20,101.0,0.4139344262295082,5305.607,5099.8,0.10957760866597492,0.12921890342356762,0.11335904785232964,-0.0196412947575927,-0.003781439186354721,5058.505658114251,5091.82369112645,41.29434188574942,7.976308873549897,-1.6403862151477562
2024-04-24,IM2412,2024-12-20,161.0,0.6598360655737705,5305.607,5028.4,0.09532678193846145,0.1199294237440867,0.10949868743429877,-0.024602641805625255,-0.014171905495837328,4947.429415471971,4981.597923262941,80.97058452802867,46.802076737059,-2.6232092542230894
2024-04-25,IM2405,2024-05-17,13.0,0.05327868852459016,5313.986,5279.2,0.13726958261746078,0.1196663404402237,0.14092276789209882,0.017603242177237077,-0.0036531852746380378,5284.153566283217,5278.172572760863,-4.953566283216787,1.0274272391370687,0.27179835901635874
2024-04-25,IM2406,2024-06-21,37.0,0.15163934426229508,5313.986,5214.2,0.1390106945151395,0.11807713277602526,0.12491975397484216,0.020933561739114245,0.014090940540297345,5230.778002266483,5225.353306456514,-16.578002266483054,-11.153306456513747,0.801180897472586
2024-04-25,IM2409,2024-09-20,100.0,0.4098360655737705,5313.986,5106.8,0.11103691588042883,0.11330100132149716,0.11467758332175111,-0.0022640854410683336,-0.0036406674413222845,5102.063578332145,5099.185943885443,4.736421667855211,7.61405611455757,-0.1880099431254668
2024-04-25,IM2412,2024-12-20,160.0,0.6557377049180327,5313.986,5030.4,0.09763513118109694,0.10943828109991578,0.10979412480135543,-0.01180314991881884,-0.01215899362025849,4991.616141475647,4990.451532986078,38.78385852435258,39.9484670139218,-1.256004063026287
2024-04-26,IM2405,2024-05-17,12.0,0.04918032786885246,5415.938,5408.6,0.04156810920818517,0.13820572508637474,0.04459387449866256,-0.09663761587818957,-0.003025765290477392,5382.955698737807,5407.795216233944,25.64430126219304,0.8047837660560617,-1.4079840877969996
2024-04-26,IM2406,2024-06-21,36.0,0.14754098360655737,5415.938,5351.2,0.09550449363736944,0.12356954487523256,0.08447080289250422,-0.02806505123786311,0.011033690744865224,5329.087855912157,5359.918428520877,22.112144087843262,-8.718428520876842,-1.0479254730677867
2024-04-26,IM2409,2024-09-20,99.0,0.4057377049180328,5415.938,5247.8,0.09172791742031726,0.11408314192539722,0.09657473583556309,-0.022355224505079957,-0.004846818415245827,5200.415798683187,5237.49014791186,47.38420131681323,10.30985208814036,-1.8451263787763792
2024-04-26,IM2412,2024-12-20,159.0,0.6516393442622951,5415.938,5175.6,0.08365634276333969,0.10939328733745962,0.09707254993161653,-0.02573694457411993,-0.013416207168276836,5089.522774870312,5130.549384880814,86.07722512968849,45.05061511918666,-2.732255871644016
2024-04-29,IM2405,2024-05-17,11.0,0.045081967213114756,5545.235,5557.0,-0.0330120094908523,0.05206020685077726,-0.03194116667642263,-0.08507221634162956,-0.001070842814429665,5535.728483100763,5556.731738406796,21.271516899237213,0.26826159320444276,-1.1669362250126536
2024-04-29,IM2406,2024-06-21,35.0,0.14344262295081966,5545.235,5510.2,0.058185473955917506,0.08795670530013575,0.050313477378118664,-0.02977123134421824,0.007871996577798843,5486.719064876681,5516.425520942599,23.480935123318886,-6.22552094259936,-1.0836720527905421
2024-04-29,IM2409,2024-09-20,98.0,0.4016393442622951,5545.235,5426.8,0.06775309741612195,0.0979432105009729,0.07863247844202215,-0.03019011308485095,-0.010879381025900192,5361.394474539038,5403.138855133824,65.40552546096205,23.661144866176073,-2.476307524595771
2024-04-29,IM2412,2024-12-20,158.0,0.6475409836065574,5545.235,5340.0,0.07224086569029582,0.09792450139557993,0.08342013500096532,-0.025683635705284105,-0.011179269310669496,5251.923793005398,5301.483133532301,88.07620699460222,38.5168664676994,-2.719866308278072
2024-04-30,IM2405,2024-05-17,10.0,0.040983606557377046,5497.43,5493.0,0.03367020505184548,-0.017436493476679346,0.03430835965782124,0.05110669852852483,-0.0006381546059757576,5504.517348323856,5492.856338630682,-11.517348323855913,0.1436613693176696,0.6584509429964647
2024-04-30,IM2406,2024-06-21,34.0,0.13934426229508196,5497.43,5448.8,0.07776516129127414,0.05699881196788261,0.07112241066007524,0.020766349323391532,0.0066427506311989015,5464.589872296267,5453.845903267786,-15.789872296266367,-5.045903267785434,0.7362811012278025
2024-04-30,IM2409,2024-09-20,97.0,0.3975409836065574,5497.43,5359.0,0.0781526807151996,0.08126774006177345,0.08298080363441622,-0.0031150593465738563,-0.004828122919216624,5352.367716065821,5348.723925065336,6.632283934179213,10.276074934664393,-0.25389235367895346
2024-04-30,IM2412,2024-12-20,157.0,0.6434426229508197,5497.43,5287.0,0.07465767429724823,0.0850787848969833,0.08473795644750758,-0.010421110599735064,-0.010080282150259343,5251.667212702597,5252.819048269874,35.33278729740323,34.18095173012625,-1.100811093495372
2024-05-06,IM2405,2024-05-17,9.0,0.036885245901639344,5606.842,5590.2,0.0945897563551835,0.04057009945231764,0.0944155139576549,0.054019656902865865,0.00017424239752859838,5601.349736255143,5590.235928183716,-11.14973625514358,-0.03592818371635076,0.6521257225990386
2024-05-06,IM2406,2024-06-21,33.0,0.13524590163934427,5606.842,5548.6,0.09120747076918007,0.07394573517985467,0.08730100363530778,0.017261735589325394,0.003906467133872285,5561.568777431518,5551.532286744647,-12.968777431517992,-2.9322867446462624,0.5956348177532523
2024-05-06,IM2409,2024-09-20,96.0,0.39344262295081966,5606.842,5461.8,0.0806151311438525,0.08407484636490645,0.08479088187534571,-0.003459715221053941,-0.004175750731493205,5454.370458637384,5452.83407587384,7.429541362615964,8.965924126159734,-0.2801691409402019
2024-05-06,IM2412,2024-12-20,156.0,0.639344262295082,5606.842,5394.6,0.07435744233856231,0.08542247731250857,0.08419505915905727,-0.011065034973946258,-0.009837616820494957,5356.571294918902,5360.776475204624,38.02870508109845,33.823524795376215,-1.1658564384903196
2024-05-07,IM2405,2024-05-17,8.0,0.03278688524590164,5625.336,5606.8,0.11466625140915426,0.09327202331228954,0.11755547512537831,0.021394228096864726,-0.0028892237162240486,5610.734270115066,5606.268900580738,-3.934270115065374,0.5310994192623184,0.24139528595989038
