date,open,high,low,close,volume,hold,settle,contract,expiry,expiry_source
2023-08-03,6444.0,6466.2,6426.0,6459.4,4731,51140,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-04,6490.0,6542.8,6473.2,6500.6,6421,52153,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-07,6492.4,6517.8,6474.6,6488.8,5353,52286,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-08,6488.8,6489.6,6441.0,6465.6,5005,52289,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-09,6451.4,6465.0,6419.0,6427.6,5304,52934,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-10,6411.6,6447.6,6393.6,6417.6,5584,52872,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-11,6429.8,6429.8,6293.2,6298.4,9119,54794,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-14,6240.0,6317.8,6208.0,6309.4,8283,54918,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-15,6313.4,6322.8,6198.0,6260.0,7643,55684,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-16,6242.0,6259.2,6191.0,6191.2,8710,58238,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-17,6165.0,6261.0,6130.0,6245.8,10054,59143,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-18,6247.2,6269.0,6122.0,6124.0,13072,61294,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-21,6105.0,6163.0,6049.0,6050.0,10610,61305,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-22,6085.2,6103.8,5982.6,6074.0,14615,65542,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-23,6063.6,6065.6,5944.6,5966.0,13521,64521,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-24,5976.2,6043.4,5939.0,5963.0,12440,65436,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-25,5946.0,5976.6,5841.2,5875.4,16419,67134,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-28,6198.8,6220.0,5868.0,5887.8,22155,69180,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-29,5885.8,6132.4,5885.8,6092.0,22619,69974,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-30,6125.0,6193.0,6098.0,6120.0,17959,70016,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-08-31,6109.0,6130.4,6072.6,6102.0,12045,69427,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-01,6120.2,6145.0,6073.0,6095.0,10612,69374,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-04,6129.0,6187.8,6089.0,6186.8,14566,70053,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-05,6173.0,6195.2,6128.2,6147.0,13050,70565,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-06,6128.8,6191.0,6081.8,6166.0,13807,72447,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-07,6163.4,6163.4,6053.0,6059.8,16384,74505,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-08,6044.0,6091.8,6036.8,6057.2,17302,75360,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-11,6075.0,6182.2,6041.0,6144.6,21013,78353,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-12,6144.8,6177.4,6133.8,6155.0,16923,80336,0.0,IM2312,2023-12-15,contract_code_cffex_rule
