window,cut_date,test_start,test_end,model,model_label,maturity_bucket,n_observations,carry_rmse_bps,carry_mae_bps,carry_mean_bias_bps,futures_rmse_points,futures_mae_points,futures_mean_bias_points,marginal_standardized_innovation_rms,mean_observation_noise_carry_bps
3,2025-03-03,2025-03-04,2025-08-25,constant_carry,Constant carry noise,6-10,30,1449.7498183961097,725.297252421728,123.27902274731277,28.05473167974457,14.5443282014801,-2.2827233976663592,1.653522138849942,55.120269213212744
3,2025-03-03,2025-03-04,2025-08-25,constant_carry,Constant carry noise,11-15,28,456.3282876905611,382.85593657893037,112.11557727263825,15.181290700809278,12.71357996873186,-3.8440444259993973,0.6872305221778424,55.120269213212744
3,2025-03-03,2025-03-04,2025-08-25,constant_carry,Constant carry noise,16-21,33,350.87965960745976,276.441401128509,-18.60761127868778,17.841704401329277,13.627845547042163,0.6716371990301426,0.7269914754421517,55.12026921321275
3,2025-03-03,2025-03-04,2025-08-25,constant_carry,Constant carry noise,22-42,112,361.22297909118447,218.19937171754265,31.49412662684494,24.228920774608326,16.529754941278522,-2.0644891480898764,1.021244195366022,55.12026921321274
3,2025-03-03,2025-03-04,2025-08-25,constant_carry,Constant carry noise,43-63,43,292.55967915302364,173.27748963664436,17.6529357551872,33.853356259240186,21.483028072338403,-1.1601778760496018,1.4259935987893269,55.12026921321275
3,2025-03-03,2025-03-04,2025-08-25,constant_carry,Constant carry noise,64-126,122,120.12734949917508,87.02563929079676,2.5148943094591263,27.667125175350623,20.170371876901644,-0.3473481746269186,0.961249840599286,55.12026921321274
3,2025-03-03,2025-03-04,2025-08-25,constant_carry,Constant carry noise,127-252,76,83.6504795206442,67.42548670643787,18.296802824353026,30.25881423906178,24.265505148289822,-6.877482317646713,0.8720740767189195,55.12026921321275
3,2025-03-03,2025-03-04,2025-08-25,two_bucket_carry,Two carry-noise buckets,6-10,30,1315.01210273496,721.5124610191915,141.61812157832964,26.04086150305375,14.54813727615392,-2.8331570421980663,1.7658613009306339,322.89000297106907
3,2025-03-03,2025-03-04,2025-08-25,two_bucket_carry,Two carry-noise buckets,11-15,28,510.5756043652749,422.5952737548185,119.62952493099066,17.086336141247838,14.002644162615493,-4.259245387912317,0.7772376943113408,322.89000297106907
3,2025-03-03,2025-03-04,2025-08-25,two_bucket_carry,Two carry-noise buckets,16-21,33,353.84600873636685,282.29074213340454,-30.97792530228918,18.00184546256658,13.898423633939109,1.2051662784942616,0.7629625757187234,38.48965702839803
3,2025-03-03,2025-03-04,2025-08-25,two_bucket_carry,Two carry-noise buckets,22-42,112,354.80209816694156,216.09139522426193,26.578044023896457,23.879149025251373,16.34679532757759,-2.0550707225947105,0.9637206854353704,38.48965702839803
