window,model,model_label,date,n_observations,carry_squared_error,carry_absolute_error,futures_squared_error,futures_absolute_error,comparison_log_likelihood,mean_log_predictive_score
1,constant_carry,Constant carry noise,2024-08-27,4,0.00016770283825962788,0.011085772970880686,91.04737416893302,8.722564603499677,5.758311208799277,1.4395778021998193
1,two_bucket_carry,Two carry-noise buckets,2024-03-05,4,0.011040301186649329,0.06884138857696297,948.2132022245281,30.202074247703422,3.033537514623502,0.7583843786558755
1,two_bucket_carry,Two carry-noise buckets,2024-03-06,4,0.00033506513314848226,0.014069635480556644,313.662522123343,14.953817759297408,8.95439216034358,2.238598040085895
1,two_bucket_carry,Two carry-noise buckets,2024-03-07,4,0.0002849534474682094,0.01259540784123131,52.88775742990914,6.506710588352007,9.320980088998958,2.3302450222497395
1,two_bucket_carry,Two carry-noise buckets,2024-03-08,3,1.973708909334334e-05,0.0035417861658632956,41.30938589680597,4.957183063907299,8.925103030343257,2.9750343434477524
1,two_bucket_carry,Two carry-noise buckets,2024-03-11,3,0.00016089269236923764,0.009040770681513025,100.5517062792573,8.848487454591426,7.358891864416863,2.4529639548056212
1,two_bucket_carry,Two carry-noise buckets,2024-03-12,3,2.701418223252635e-05,0.005068951333062034,70.56057107322034,7.665963568056516,7.851785454077435,2.6172618180258116
1,two_bucket_carry,Two carry-noise buckets,2024-03-13,3,2.2609280109109034e-05,0.004370867275817272,99.1363725449188,8.196122699684565,8.01319673414483,2.6710655780482764
1,two_bucket_carry,Two carry-noise buckets,2024-03-14,3,3.128389594913144e-05,0.0048056476412955225,63.73314098698603,6.68353190324342,8.63622295723399,2.8787409857446633
1,two_bucket_carry,Two carry-noise buckets,2024-03-15,3,0.0009333591794676716,0.025833007081127957,988.3159299604762,29.33005077802439,6.322497900463045,2.1074993001543483
1,two_bucket_carry,Two carry-noise buckets,2024-03-18,4,0.0004286574806774993,0.018485381638913168,609.6470621670488,21.4836526690583,10.660545766622445,2.665136441655611
1,two_bucket_carry,Two carry-noise buckets,2024-03-19,4,0.0004561853451589289,0.018469815694100458,309.86408294916987,16.21933829074942,10.912257822469671,2.728064455617418
1,two_bucket_carry,Two carry-noise buckets,2024-03-20,4,6.950667478375316e-05,0.008057703226374804,118.1722204033789,9.927664345831545,10.401492138639002,2.6003730346597504
1,two_bucket_carry,Two carry-noise buckets,2024-03-21,4,2.1333674777789573e-05,0.0041951927490139936,93.68161513284272,7.137432999502835,12.409468144602533,3.1023670361506333
1,two_bucket_carry,Two carry-noise buckets,2024-03-22,4,0.0001799576769179087,0.012013944006580922,155.64904581944936,10.85827417275118,10.329868518393312,2.582467129598328
1,two_bucket_carry,Two carry-noise buckets,2024-03-25,4,7.679250188991967e-05,0.0076705043183483805,70.44383482175806,7.148904433025791,4.330778665812376,1.082694666453094
1,two_bucket_carry,Two carry-noise buckets,2024-03-26,4,0.0007896562356116705,0.023595482886298785,361.9572395329485,16.5586569159143,10.716926525228244,2.679231631307061
1,two_bucket_carry,Two carry-noise buckets,2024-03-27,4,0.0003225234309835144,0.015778638760436118,161.8405551289162,11.399035776367555,12.82735061218223,3.2068376530455573
1,two_bucket_carry,Two carry-noise buckets,2024-03-28,4,0.0010820619206349524,0.025063797118250686,286.01818025243085,15.993930219721051,9.642963745630322,2.4107409364075805
1,two_bucket_carry,Two carry-noise buckets,2024-03-29,4,0.0001679944884416181,0.011545502977420116,93.3186597295173,9.238606863454606,4.598266090447082,1.1495665226117704
1,two_bucket_carry,Two carry-noise buckets,2024-04-01,4,0.0007125477360343623,0.021944343449322414,515.3303797828796,18.279296680515927,7.6302290885441435,1.9075572721360359
1,two_bucket_carry,Two carry-noise buckets,2024-04-02,4,0.00010984150289318773,0.009862727168624495,92.2528177773758,8.595574990211844,9.71307492306296,2.42826873076574
1,two_bucket_carry,Two carry-noise buckets,2024-04-03,4,0.00016504592650959534,0.011404770360732869,136.31378189534172,9.455708414866422,9.923116671494512,2.480779167873628
