date,open,high,low,close,volume
2022-12-13,6654.67,6654.749,6586.868,6593.668,14969272300
2022-12-14,6600.407,6626.699,6556.808,6570.018,13966493100
2022-12-15,6557.904,6605.703,6544.999,6597.551,12885054400
2022-12-16,6569.057,6581.934,6504.054,6519.436,13443484900
2022-12-19,6518.382,6537.135,6367.446,6390.77,13548597200
2022-12-20,6380.215,6389.054,6321.141,6341.583,11000860600
2022-12-21,6341.215,6344.655,6255.349,6289.136,10272973500
2022-12-22,6314.553,6319.574,6171.18,6186.928,11324545600
2022-12-23,6154.659,6197.238,6120.944,6160.745,9709472900
2022-12-26,6161.937,6276.111,6161.937,6275.524,10003121000
2022-12-27,6288.607,6328.359,6256.042,6325.628,10927050000
2022-12-28,6304.59,6306.949,6251.302,6268.466,10526387400
2022-12-29,6253.795,6322.246,6245.229,6261.829,10238221100
2022-12-30,6283.5,6296.244,6262.6,6281.621,9714649600
2023-01-03,6286.814,6433.786,6275.688,6423.701,13318168000
2023-01-04,6423.43,6445.619,6385.003,6421.277,13104009300
2023-01-05,6427.455,6489.989,6413.75,6485.469,12166152600
2023-01-06,6482.883,6539.759,6478.626,6500.32,12938399700
2023-01-09,6523.137,6559.461,6517.575,6535.749,12204787100
2023-01-10,6541.82,6546.542,6505.098,6540.201,11162812100
2023-01-11,6544.567,6562.351,6480.945,6486.905,11288294200
2023-01-12,6495.16,6529.813,6469.477,6489.57,10493747000
2023-01-13,6505.237,6517.513,6475.657,6517.513,11076193600
2023-01-16,6521.454,6628.73,6521.454,6591.806,14107088800
2023-01-17,6600.251,6622.318,6573.282,6597.495,10842111100
2023-01-18,6613.742,6635.855,6593.372,6613.005,10583467400
2023-01-19,6605.448,6678.179,6590.419,6676.08,10758956000
2023-01-20,6690.143,6740.13,6690.143,6736.852,12276268200
2023-01-30,6815.139,6839.843,6780.373,6786.453,17076933200
2023-01-31,6763.399,6820.142,6758.902,6805.276,14771234600
2023-02-01,6815.057,6916.726,6812.786,6916.72,16965166100
2023-02-02,6926.579,6969.788,6908.697,6933.226,16713398600
2023-02-03,6922.79,6934.325,6829.399,6925.076,15755888000
2023-02-06,6902.492,6928.281,6853.911,6891.413,14605902700
2023-02-07,6900.232,6924.419,6864.206,6924.321,15010875200
2023-02-08,6927.33,6932.991,6873.599,6877.725,13851073100
2023-02-09,6864.027,6999.182,6850.569,6999.182,14914769700
2023-02-10,6991.234,7015.249,6926.483,6975.395,15243205100
2023-02-13,6976.33,7052.596,6973.408,7052.177,16084848000
2023-02-14,7064.529,7070.335,7028.785,7061.449,15178643800
2023-02-15,7062.362,7076.868,7038.986,7063.605,15977932800
2023-02-16,7063.927,7098.918,6878.348,6925.203,21738161700
2023-02-17,6931.993,6954.846,6861.305,6868.548,17265690200
2023-02-20,6871.862,6959.751,6825.874,6959.361,16561437900
2023-02-21,6969.355,7008.546,6939.593,6990.475,17169094600
2023-02-22,6961.15,7014.562,6947.117,6998.43,14460101600
2023-02-23,6997.783,7008.679,6929.612,6966.787,14186246700
2023-02-24,6971.649,6983.16,6906.686,6944.824,12107882600
2023-02-27,6928.034,6950.883,6876.254,6894.296,12930093900
2023-02-28,6911.362,6955.574,6874.925,6955.574,13103602500
2023-03-01,6955.482,7002.771,6932.757,7002.771,15590855500
2023-03-02,6999.232,7021.109,6963.055,6972.306,16650570800
2023-03-03,6970.213,6997.425,6921.267,6967.94,15459824700
2023-03-06,6973.523,7004.71,6933.993,6997.044,15031713400
2023-03-07,6991.559,6993.177,6855.344,6855.344,15975778000
2023-03-08,6838.629,6894.364,6832.037,6891.456,12128060000
2023-03-09,6898.24,6911.538,6851.909,6892.857,12667126100
2023-03-10,6854.41,6864.935,6795.223,6798.299,14033859100
2023-03-13,6780.023,6832.621,6750.219,6832.621,14119118700
2023-03-14,6824.248,6824.248,6690.086,6769.849,15633643500
2023-03-15,6797.821,6844.966,6794.408,6803.474,13914701000
2023-03-16,6769.607,6777.906,6677.681,6689.783,14188184500
2023-03-17,6726.957,6781.946,6717.144,6736.367,16153534500
2023-03-20,6745.952,6760.91,6694.522,6721.455,17531344100
2023-03-21,6726.798,6810.288,6725.835,6809.391,14658493500
2023-03-22,6830.194,6845.761,6810.765,6840.326,16031826700
2023-03-23,6827.676,6869.176,6809.851,6868.835,16544805600
2023-03-24,6874.538,6880.195,6840.75,6867.952,18168022900
2023-03-27,6874.386,6900.633,6830.945,6886.689,19506440300
2023-03-28,6881.109,6884.543,6816.447,6825.383,17046883700
2023-03-29,6825.129,6839.899,6785.149,6806.281,16080659500
