cohort,scenario,date,elapsed_sessions,cash,equity,discounted_equity,discounted_pnl_change,contracts_1,contracts_2
2025-06-23,one_futures,2025-06-30,5,48.422827038454834,69.42817946992645,69.40826440639226,18.191864310914042,0.3745702141280476,0.0
2025-06-23,one_futures,2025-07-01,6,81.5132457749997,81.5132457749997,81.4851886677088,12.076924261316535,0.0,0.0
2025-06-23,two_futures,2025-06-23,0,-25.418996354606083,-0.057784966995242826,-0.057784966995242826,-0.057784966995242826,0.264378079357785,0.0245467556184228
2025-06-23,two_futures,2025-06-24,1,13.18777472342507,33.13191598737591,33.13001503033904,33.18779999733428,0.2114387701690869,0.0206590384512083
2025-06-23,two_futures,2025-06-25,2,37.99906383305026,51.72190413696776,51.715969177030026,18.585954146690987,0.1499962061957502,0.015768294383381
2025-06-23,two_futures,2025-06-26,3,33.6898889937029,46.23248393532096,46.22452656968239,-5.491442607347636,0.1542153436149863,0.013781084152558
2025-06-23,two_futures,2025-06-27,4,36.65308557722402,50.78645923688457,50.77480466566822,4.550278095985831,0.1967114196392397,0.0132910165090831
2025-06-23,two_futures,2025-06-30,5,47.41104460007732,68.41639703154894,68.39677219183592,17.6219675261677,0.3559288862765489,0.0130297886408151
2025-06-23,two_futures,2025-07-01,6,80.14764115150264,80.14764115150264,80.12005408947952,11.723281897643602,0.0,0.0
2025-07-21,no_hedge,2025-07-21,0,-25.60528972333548,0.0,0.0,0.0,0.0,0.0
2025-07-21,no_hedge,2025-07-22,1,-25.606758921451938,-6.766587687258301,-6.7661994515618025,-6.7661994515618025,0.0,0.0
2025-07-21,no_hedge,2025-07-23,2,-25.608228203869064,-9.856300204424082,-9.85516921847483,-3.088969766913027,0.0,0.0
2025-07-21,no_hedge,2025-07-24,3,-25.6096975705917,-13.59117630762209,-13.588837044183654,-3.7336678257088245,0.0,0.0
2025-07-21,no_hedge,2025-07-25,4,-25.61116702162468,-12.291863160320796,-12.289042400678637,1.2997946435050167,0.0,0.0
2025-07-21,no_hedge,2025-07-28,5,-25.612636556972845,-8.870082967038677,-8.867538636088467,3.4215037645901702,0.0,0.0
2025-07-21,no_hedge,2025-07-29,6,-25.61410617664103,-12.257445107657865,-12.253226057744834,-3.3856874216563675,0.0,0.0
2025-07-21,no_hedge,2025-07-30,7,-25.615575880634072,-13.05361584453398,-13.048374051551543,-0.7951479938067081,0.0,0.0
2025-07-21,no_hedge,2025-07-31,8,-25.617045668956813,-12.55436170953633,-12.548600374077315,0.4997736774742272,0.0,0.0
2025-07-21,no_hedge,2025-08-01,9,-25.61851554161409,-12.713976556701951,-12.707412837455056,-0.1588124633777408,0.0,0.0
2025-07-21,no_hedge,2025-08-04,10,-25.619985498610742,-18.530928652890154,-18.520299202567497,-5.8128863651124405,0.0,0.0
2025-07-21,no_hedge,2025-08-05,11,-25.621455539951608,-18.640904975666544,-18.629143526324786,-0.10884432375728892,0.0,0.0
2025-07-21,no_hedge,2025-08-06,12,-25.622925665641528,-20.68863880518026,-20.674399071391857,-2.0452555450670715,0.0,0.0
2025-07-21,no_hedge,2025-08-07,13,-16.697671739515876,-16.697671739515876,-16.68522156267304,3.989177508718818,0.0,0.0
2025-07-21,one_futures,2025-07-21,0,-25.6619456829182,-0.05665595958272007,-0.05665595958272007,-0.05665595958272007,0.2832797979135948,0.0
2025-07-21,one_futures,2025-07-22,1,-10.267315316082646,8.57285591811099,8.572364047046552,8.629020006629272,0.211688844401575,0.0
2025-07-21,one_futures,2025-07-23,2,-14.844518468265393,0.9074095311795887,0.9073054081913784,-7.665058638855173,0.1910139046423828,0.0
2025-07-21,one_futures,2025-07-24,3,5.662300955639087,17.680822218608697,17.67777906030942,16.770473652118042,0.1549030267131515,0.0
2025-07-21,one_futures,2025-07-25,4,4.478007468575985,17.797311329879868,17.7932271697421,0.11544810943268047,0.1916799241340575,0.0
2025-07-21,one_futures,2025-07-28,5,5.689810885259131,22.4323644751933,22.425929883833476,4.632702714091376,0.2677051241385767,0.0
2025-07-21,one_futures,2025-07-29,6,20.782742176767155,34.139403245750316,34.12765235924584,11.701722475412367,0.2378842049757607,0.0
2025-07-21,one_futures,2025-07-30,7,7.603216272408454,20.165176308508546,20.157078806565604,-13.97057355268024,0.2475513816356561,0.0
2025-07-21,one_futures,2025-07-31,8,-8.100480445792618,4.962203513627864,4.959926303545873,-15.19715250301973,0.2944283072853578,0.0
2025-07-21,one_futures,2025-08-01,9,-6.756338557086151,6.148200427825989,6.145026357046331,1.1851000535004577,0.3432459563213975,0.0
2025-07-21,one_futures,2025-08-04,10,25.82525588051984,32.91431272624043,32.89543288170693,26.7504065246606,0.2113272411437437,0.0
2025-07-21,one_futures,2025-08-05,11,34.82293170063372,41.803482264918784,41.777106424281776,8.881673542574845,0.2430596016289828,0.0
2025-07-21,one_futures,2025-08-06,12,54.26333802372999,59.19762488419126,59.156879892353246,17.37977346807147,0.2112600935841328,0.0
2025-07-21,one_futures,2025-08-07,13,61.79885910178132,61.79885910178132,61.75278041868672,2.595900526333473,0.0,0.0
2025-07-21,two_futures,2025-07-21,0,-25.66108593435186,-0.05579621101637855,-0.05579621101637855,-0.05579621101637855,0.2614080119184682,0.0175730431634169
2025-07-21,two_futures,2025-07-22,1,-10.507276184594062,8.332895049599575,8.332416946386706,8.388213157403085,0.1931931958920597,0.0144977101846004
2025-07-21,two_futures,2025-07-23,2,-14.870523014498302,0.8814049849466805,0.8813038459155126,-7.4511131004711935,0.1749366671243455,0.0122531665801754
2025-07-21,two_futures,2025-07-24,3,5.296737684841376,17.315258947810985,17.312278708921657,16.430974863006146,0.1418153962005809,0.0096616600921859
2025-07-21,two_futures,2025-07-25,4,4.1190637521439495,17.438367613447834,17.434365824382372,0.12208711546071527,0.1786239784345318,0.0093257193983955
2025-07-21,two_futures,2025-07-28,5,5.178337057293698,21.920890647227864,21.914602769117007,4.480236944734635,0.2542839743545716,0.0092548163830774
