eta_fast_fixed,start_id,observation_noise_model,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,log_likelihood,converged,iterations,message
6.0,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,1.3385882480889248,61.33858824808891,0.10139353444421388,0.07542669837280576,6.0,0.0011071906947386968,5540.489659531929,True,25,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6.0,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,6.0,0.0010135172156689135,1.338585056852978,61.33858505685296,0.10139349552755623,0.07542668479325065,6.0,0.0011071907184193965,5540.489659531895,True,23,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6.0,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,1.3385840794923107,61.3385840794923,0.10139347501974733,0.07542664843168678,6.0,0.0011071902991558482,5540.489659531759,True,26,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6.0,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,1.3385927060434943,61.33859270604348,0.10139357320796955,0.07542679495553264,6.0,0.0011071903873227235,5540.489659529531,True,24,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8.0,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,8.0,0.0010135172156689135,1.345258922964517,61.345258922964504,0.10145060288151422,0.07488568294941562,8.0,0.0011097912446586236,5450.366094144875,True,22,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8.0,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,0.75,12.000000000000002,0.12504725801148872,0.24643869783727762,8.0,0.005903587112140108,3281.710392348094,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8.0,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,0.3499999999999999,7.999999999999999,0.12504725801148872,0.17250708848609433,8.0,0.005903587112140108,3161.04491553828,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8.0,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,0.15,4.0,0.12504725801148872,0.12321934891863882,8.0,0.005903587112140108,2950.3006509364413,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10.0,3,constant_log_futures,0.75,12.0,0.12504725801148872,0.24643869783727762,0.6160967445931941,0.005903587112140106,1.3492060592940112,61.349206059294,0.10148607367332499,0.07470743530482267,10.0,0.0011113920001615603,5365.3145746392065,True,19,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10.0,0,constant_log_futures,0.7985600876154897,19.646692686112253,0.09318064292370311,0.05810886575006862,10.0,0.0010135172156689135,1.3491932324173077,61.34919323241729,0.10148599291569878,0.0747072832949782,10.0,0.0011113913750273555,5365.314574634326,True,29,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10.0,2,constant_log_futures,0.35,8.0,0.12504725801148872,0.17250708848609433,0.49287739567455524,0.005903587112140106,0.3499999999999999,7.999999999999999,0.12504725801148872,0.17250708848609433,10.0,0.005903587112140108,3053.750928229373,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10.0,1,constant_log_futures,0.15,4.0,0.12504725801148872,0.12321934891863881,0.3696580467559164,0.005903587112140106,0.15,4.0,0.12504725801148872,0.12321934891863882,10.0,0.005903587112140108,2841.996294911826,True,1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
